Count,FIPS Code,State and area,Year,Month,Population,LaborForce,LaborForce_prct,Employed,Employed_prct,Unemployed,Unemployed_prct
7493,22,Louisiana,1987,10,3188000,1942201,60.9,1713561,53.8,228640,11.8
7494,23,Maine,1987,10,903000,594044,65.8,568953,63,25091,4.2
7495,24,Maryland,1987,10,3468000,2425476,69.9,2321367,66.9,104109,4.3
7496,25,Massachusetts,1987,10,4595000,3106271,67.6,3013346,65.6,92925,3
7497,26,Michigan,1987,10,6948000,4524446,65.1,4152840,59.8,371606,8.2
7498,27,Minnesota,1987,10,3210000,2290737,71.4,2178649,67.9,112088,4.9
7499,28,Mississippi,1987,10,1880000,1149524,61.1,1041835,55.4,107689,9.4
7500,29,Missouri,1987,10,3878000,2586516,66.7,2432708,62.7,153808,5.9
7501,30,Montana,1987,10,597000,402238,67.4,372343,62.4,29895,7.4
7502,31,Nebraska,1987,10,1183000,811340,68.6,777469,65.7,33871,4.2
7503,32,Nevada,1987,10,774000,563774,72.8,529557,68.4,34217,6.1
7504,33,New Hampshire,1987,10,810000,588950,72.7,574472,70.9,14478,2.5
7505,34,New Jersey,1987,10,6014000,3976318,66.1,3819113,63.5,157205,4
7506,35,New Mexico,1987,10,1076000,676635,62.9,620134,57.6,56501,8.4
7507,36,New York,1987,10,13779000,8520595,61.8,8120516,58.9,400079,4.7
7508,51000,New York city,1987,10,5834800,3249888,55.7,3072558,52.7,177330,5.5
7509,37,North Carolina,1987,10,4827000,3293871,68.2,3153161,65.3,140710,4.3
7510,38,North Dakota,1987,10,483000,331854,68.7,315478,65.3,16376,4.9
7511,39,Ohio,1987,10,8183000,5260060,64.3,4921268,60.1,338792,6.4
7512,40,Oklahoma,1987,10,2395000,1548062,64.6,1441547,60.2,106515,6.9
7513,41,Oregon,1987,10,2094000,1407644,67.2,1319839,63,87805,6.2
7514,42,Pennsylvania,1987,10,9312000,5710659,61.3,5394136,57.9,316523,5.5
7515,44,Rhode Island,1987,10,764000,518312,67.8,500510,65.5,17802,3.4
7516,45,South Carolina,1987,10,2507000,1632476,65.1,1549209,61.8,83267,5.1
7517,46,South Dakota,1987,10,516000,355227,68.8,340528,66,14699,4.1
7518,47,Tennessee,1987,10,3694000,2340619,63.4,2199556,59.5,141063,6
7519,48,Texas,1987,10,12032000,8298109,69,7623766,63.4,674343,8.1
7520,49,Utah,1987,10,1089000,753755,69.2,710072,65.2,43683,5.8
7521,50,Vermont,1987,10,415000,298300,71.9,288056,69.4,10244,3.4
7522,51,Virginia,1987,10,4422000,3028511,68.5,2910143,65.8,118368,3.9
7523,53,Washington,1987,10,3420000,2288255,66.9,2127520,62.2,160735,7
7524,54,West Virginia,1987,10,1448000,748617,51.7,668938,46.2,79679,10.6
7525,55,Wisconsin,1987,10,3626000,2502143,69,2362829,65.2,139314,5.6
7526,56,Wyoming,1987,10,347000,237956,68.6,220866,63.7,17090,7.2
7527,1,Alabama,1987,11,3046000,1872135,61.5,1732529,56.9,139606,7.5
7528,2,Alaska,1987,11,345000,248007,71.9,224015,64.9,23992,9.7
7529,4,Arizona,1987,11,2537000,1638283,64.6,1536677,60.6,101606,6.2
7530,5,Arkansas,1987,11,1781000,1107837,62.2,1020490,57.3,87347,7.9
7531,6,California,1987,11,20698000,13899418,67.2,13134912,63.5,764506,5.5
7532,37,Los Angeles County,1987,11,6390500,4287003,67.1,4051742,63.4,235261,5.5
7533,8,Colorado,1987,11,2441000,1702207,69.7,1582433,64.8,119774,7
7534,9,Connecticut,1987,11,2511000,1749470,69.7,1695064,67.5,54406,3.1
7535,10,Delaware,1987,11,494000,337285,68.3,326611,66.1,10674,3.2
7536,11,District of Columbia,1987,11,471000,329515,70,310560,65.9,18955,5.8
7537,12,Florida,1987,11,9517000,5958287,62.6,5651434,59.4,306853,5.2
7538,13,Georgia,1987,11,4587000,3101711,67.6,2920626,63.7,181085,5.8
7539,15,Hawaii,1987,11,768000,518247,67.5,500043,65.1,18204,3.5
7540,16,Idaho,1987,11,713000,471404,66.1,438316,61.5,33088,7
7541,17,Illinois,1987,11,8761000,5796888,66.2,5389223,61.5,407665,7
7542,18,Indiana,1987,11,4172000,2761088,66.2,2607094,62.5,153994,5.6
7543,19,Iowa,1987,11,2141000,1460565,68.2,1386858,64.8,73707,5
7544,20,Kansas,1987,11,1837000,1270839,69.2,1212753,66,58086,4.6
7545,21,Kentucky,1987,11,2780000,1692101,60.9,1557947,56,134154,7.9
7546,22,Louisiana,1987,11,3186000,1940673,60.9,1713636,53.8,227037,11.7
7547,23,Maine,1987,11,904000,594274,65.7,569907,63,24367,4.1
7548,24,Maryland,1987,11,3473000,2432500,70,2327141,67,105359,4.3
7549,25,Massachusetts,1987,11,4597000,3112936,67.7,3018929,65.7,94007,3
7550,26,Michigan,1987,11,6950000,4525787,65.1,4154335,59.8,371452,8.2
7551,27,Minnesota,1987,11,3214000,2291012,71.3,2183011,67.9,108001,4.7
7552,28,Mississippi,1987,11,1881000,1148903,61.1,1043839,55.5,105064,9.1
7553,29,Missouri,1987,11,3880000,2582189,66.6,2433878,62.7,148311,5.7
7554,30,Montana,1987,11,597000,402766,67.5,373058,62.5,29708,7.4
7555,31,Nebraska,1987,11,1184000,811386,68.5,778415,65.7,32971,4.1
7556,32,Nevada,1987,11,777000,565706,72.8,531895,68.5,33811,6
7557,33,New Hampshire,1987,11,811000,590124,72.8,575799,71,14325,2.4
7558,34,New Jersey,1987,11,6016000,3975772,66.1,3820656,63.5,155116,3.9
7559,35,New Mexico,1987,11,1077000,677878,62.9,621657,57.7,56221,8.3
7560,36,New York,1987,11,13782000,8525703,61.9,8132516,59,393187,4.6
7561,51000,New York city,1987,11,5834700,3248504,55.7,3074781,52.7,173723,5.3
7562,37,North Carolina,1987,11,4833000,3298949,68.3,3159526,65.4,139423,4.2
7563,38,North Dakota,1987,11,483000,331975,68.7,315623,65.3,16352,4.9
7564,39,Ohio,1987,11,8190000,5268896,64.3,4932926,60.2,335970,6.4
7565,40,Oklahoma,1987,11,2394000,1545967,64.6,1440155,60.2,105812,6.8
7566,41,Oregon,1987,11,2097000,1411379,67.3,1324029,63.1,87350,6.2
7567,42,Pennsylvania,1987,11,9316000,5722266,61.4,5407142,58,315124,5.5
7568,44,Rhode Island,1987,11,765000,518311,67.8,500798,65.5,17513,3.4
7569,45,South Carolina,1987,11,2510000,1637604,65.2,1553995,61.9,83609,5.1
7570,46,South Dakota,1987,11,516000,355915,69,341120,66.1,14795,4.2
7571,47,Tennessee,1987,11,3698000,2342313,63.3,2202915,59.6,139398,6
7572,48,Texas,1987,11,12036000,8303798,69,7636645,63.4,667153,8
7573,49,Utah,1987,11,1090000,754277,69.2,711446,65.3,42831,5.7
7574,50,Vermont,1987,11,416000,298631,71.8,288708,69.4,9923,3.3
7575,51,Virginia,1987,11,4429000,3037986,68.6,2920116,65.9,117870,3.9
7576,53,Washington,1987,11,3427000,2293369,66.9,2134015,62.3,159354,6.9
7577,54,West Virginia,1987,11,1447000,748712,51.7,669674,46.3,79038,10.6
7578,55,Wisconsin,1987,11,3629000,2507239,69.1,2371273,65.3,135966,5.4
7579,56,Wyoming,1987,11,347000,237826,68.5,221176,63.7,16650,7
7580,1,Alabama,1987,12,3047000,1871070,61.4,1733249,56.9,137821,7.4
7581,2,Alaska,1987,12,345000,248213,71.9,224610,65.1,23603,9.5
7582,4,Arizona,1987,12,2542000,1641486,64.6,1539153,60.5,102333,6.2
7583,5,Arkansas,1987,12,1782000,1109182,62.2,1022145,57.4,87037,7.8
7584,6,California,1987,12,20735000,13932138,67.2,13171698,63.5,760440,5.5
7585,37,Los Angeles County,1987,12,6396200,4298619,67.2,4065051,63.6,233568,5.4
7586,8,Colorado,1987,12,2442000,1704007,69.8,1584252,64.9,119755,7
7587,9,Connecticut,1987,12,2512000,1748576,69.6,1695516,67.5,53060,3
7588,10,Delaware,1987,12,495000,338997,68.5,328125,66.3,10872,3.2
7589,11,District of Columbia,1987,12,471000,329733,70,311161,66.1,18572,5.6
7590,12,Florida,1987,12,9536000,5976792,62.7,5668999,59.4,307793,5.1
7591,13,Georgia,1987,12,4594000,3110161,67.7,2927267,63.7,182894,5.9
7592,15,Hawaii,1987,12,769000,518647,67.4,500880,65.1,17767,3.4
7593,16,Idaho,1987,12,713000,471445,66.1,439107,61.6,32338,6.9
7594,17,Illinois,1987,12,8765000,5802000,66.2,5394076,61.5,407924,7
7595,18,Indiana,1987,12,4174000,2764624,66.2,2614458,62.6,150166,5.4
7596,19,Iowa,1987,12,2142000,1463824,68.3,1392143,65,71681,4.9
7597,20,Kansas,1987,12,1838000,1272116,69.2,1214303,66.1,57813,4.5
7598,21,Kentucky,1987,12,2781000,1695094,61,1560402,56.1,134692,7.9
7599,22,Louisiana,1987,12,3183000,1938653,60.9,1713641,53.8,225012,11.6
7600,23,Maine,1987,12,906000,593912,65.6,570487,63,23425,3.9
7601,24,Maryland,1987,12,3479000,2439011,70.1,2332512,67,106499,4.4
7602,25,Massachusetts,1987,12,4599000,3119105,67.8,3023595,65.7,95510,3.1
7603,26,Michigan,1987,12,6953000,4528905,65.1,4156818,59.8,372087,8.2
7604,27,Minnesota,1987,12,3218000,2290842,71.2,2186921,68,103921,4.5
7605,28,Mississippi,1987,12,1881000,1147644,61,1045582,55.6,102062,8.9
7606,29,Missouri,1987,12,3883000,2577749,66.4,2434637,62.7,143112,5.6
7607,30,Montana,1987,12,597000,403164,67.5,373740,62.6,29424,7.3
7608,31,Nebraska,1987,12,1185000,811523,68.5,779236,65.8,32287,4
7609,32,Nevada,1987,12,780000,567613,72.8,534404,68.5,33209,5.9
7610,33,New Hampshire,1987,12,813000,591285,72.7,577243,71,14042,2.4
7611,34,New Jersey,1987,12,6019000,3974316,66,3821127,63.5,153189,3.9
7612,35,New Mexico,1987,12,1078000,679450,63,623523,57.8,55927,8.2
7613,36,New York,1987,12,13786000,8524333,61.8,8142148,59.1,382185,4.5
7614,51000,New York city,1987,12,5834600,3244750,55.6,3076658,52.7,168092,5.2
7615,37,North Carolina,1987,12,4839000,3302039,68.2,3164720,65.4,137319,4.2
7616,38,North Dakota,1987,12,483000,331920,68.7,315680,65.4,16240,4.9
7617,39,Ohio,1987,12,8196000,5279385,64.4,4942876,60.3,336509,6.4
7618,40,Oklahoma,1987,12,2392000,1543257,64.5,1438502,60.1,104755,6.8
7619,41,Oregon,1987,12,2101000,1414035,67.3,1327699,63.2,86336,6.1
7620,42,Pennsylvania,1987,12,9320000,5730397,61.5,5417842,58.1,312555,5.5
7621,44,Rhode Island,1987,12,765000,518495,67.8,501322,65.5,17173,3.3
7622,45,South Carolina,1987,12,2513000,1641761,65.3,1558375,62,83386,5.1
7623,46,South Dakota,1987,12,517000,356424,68.9,341495,66.1,14929,4.2
7624,47,Tennessee,1987,12,3701000,2343309,63.3,2205199,59.6,138110,5.9
7625,48,Texas,1987,12,12040000,8308284,69,7648563,63.5,659721,7.9
7626,49,Utah,1987,12,1091000,754785,69.2,712787,65.3,41998,5.6
7627,50,Vermont,1987,12,417000,298782,71.7,289235,69.4,9547,3.2
7628,51,Virginia,1987,12,4436000,3047011,68.7,2929467,66,117544,3.9
7629,53,Washington,1987,12,3434000,2296446,66.9,2139234,62.3,157212,6.8
7630,54,West Virginia,1987,12,1446000,748506,51.8,670170,46.3,78336,10.5
7631,55,Wisconsin,1987,12,3632000,2512633,69.2,2380915,65.6,131718,5.2
7632,56,Wyoming,1987,12,347000,237732,68.5,221473,63.8,16259,6.8
7633,1,Alabama,1988,1,3049000,1869264,61.3,1733592,56.9,135672,7.3
7634,2,Alaska,1988,1,346000,248216,71.7,224991,65,23225,9.4
7635,4,Arizona,1988,1,2547000,1643937,64.5,1540561,60.5,103376,6.3
7636,5,Arkansas,1988,1,1782000,1109527,62.3,1022813,57.4,86714,7.8
7637,6,California,1988,1,20773000,13960181,67.2,13204699,63.6,755482,5.4
7638,37,Los Angeles County,1988,1,6401800,4306062,67.3,4075180,63.7,230882,5.4
7639,8,Colorado,1988,1,2442000,1704329,69.8,1585136,64.9,119193,7
7640,9,Connecticut,1988,1,2513000,1746826,69.5,1695410,67.5,51416,2.9
7641,10,Delaware,1988,1,496000,340594,68.7,329707,66.5,10887,3.2
7642,11,District of Columbia,1988,1,470000,330308,70.3,312074,66.4,18234,5.5
7643,12,Florida,1988,1,9555000,5991482,62.7,5683304,59.5,308178,5.1
7644,13,Georgia,1988,1,4600000,3117340,67.8,2933077,63.8,184263,5.9
7645,15,Hawaii,1988,1,770000,518394,67.3,501049,65.1,17345,3.3
7646,16,Idaho,1988,1,713000,471771,66.2,440128,61.7,31643,6.7
7647,17,Illinois,1988,1,8769000,5803724,66.2,5395933,61.5,407791,7
7648,18,Indiana,1988,1,4177000,2767973,66.3,2620899,62.7,147074,5.3
7649,19,Iowa,1988,1,2143000,1467413,68.5,1397465,65.2,69948,4.8
7650,20,Kansas,1988,1,1840000,1272991,69.2,1215216,66,57775,4.5
7651,21,Kentucky,1988,1,2783000,1697572,61,1562699,56.2,134873,7.9
7652,22,Louisiana,1988,1,3181000,1935857,60.9,1713253,53.9,222604,11.5
7653,23,Maine,1988,1,907000,593268,65.4,570875,62.9,22393,3.8
7654,24,Maryland,1988,1,3484000,2444552,70.2,2337273,67.1,107279,4.4
7655,25,Massachusetts,1988,1,4602000,3124068,67.9,3027096,65.8,96972,3.1
7656,26,Michigan,1988,1,6955000,4532310,65.2,4160827,59.8,371483,8.2
7657,27,Minnesota,1988,1,3221000,2290812,71.1,2190303,68,100509,4.4
7658,28,Mississippi,1988,1,1882000,1145718,60.9,1046799,55.6,98919,8.6
7659,29,Missouri,1988,1,3885000,2574227,66.3,2434597,62.7,139630,5.4
7660,30,Montana,1988,1,597000,403497,67.6,374396,62.7,29101,7.2
7661,31,Nebraska,1988,1,1186000,811650,68.4,779943,65.8,31707,3.9
7662,32,Nevada,1988,1,783000,569534,72.7,537012,68.6,32522,5.7
7663,33,New Hampshire,1988,1,814000,592472,72.8,578767,71.1,13705,2.3
7664,34,New Jersey,1988,1,6021000,3972027,66,3820548,63.5,151479,3.8
7665,35,New Mexico,1988,1,1079000,681036,63.1,625539,58,55497,8.1
7666,36,New York,1988,1,13789000,8516679,61.8,8148513,59.1,368166,4.3
7667,51000,New York city,1988,1,5834600,3238986,55.5,3077998,52.8,160988,5
7668,37,North Carolina,1988,1,4845000,3302693,68.2,3168621,65.4,134072,4.1
7669,38,North Dakota,1988,1,483000,331708,68.7,315651,65.4,16057,4.8
7670,39,Ohio,1988,1,8202000,5288997,64.5,4950802,60.4,338195,6.4
7671,40,Oklahoma,1988,1,2391000,1539604,64.4,1436480,60.1,103124,6.7
7672,41,Oregon,1988,1,2104000,1415989,67.3,1330767,63.2,85222,6
7673,42,Pennsylvania,1988,1,9324000,5734216,61.5,5425491,58.2,308725,5.4
7674,44,Rhode Island,1988,1,765000,518819,67.8,502068,65.6,16751,3.2
7675,45,South Carolina,1988,1,2516000,1644589,65.4,1562023,62.1,82566,5
7676,46,South Dakota,1988,1,517000,356760,69,341717,66.1,15043,4.2
7677,47,Tennessee,1988,1,3704000,2342464,63.2,2205784,59.6,136680,5.8
7678,48,Texas,1988,1,12044000,8310417,69,7658622,63.6,651795,7.8
7679,49,Utah,1988,1,1092000,755148,69.2,714013,65.4,41135,5.4
7680,50,Vermont,1988,1,418000,298843,71.5,289690,69.3,9153,3.1
7681,51,Virginia,1988,1,4444000,3054715,68.7,2937397,66.1,117318,3.8
7682,53,Washington,1988,1,3441000,2297847,66.8,2143290,62.3,154557,6.7
7683,54,West Virginia,1988,1,1445000,748123,51.8,670423,46.4,77700,10.4
7684,55,Wisconsin,1988,1,3635000,2518027,69.3,2391209,65.8,126818,5
7685,56,Wyoming,1988,1,347000,237640,68.5,221728,63.9,15912,6.7
7686,1,Alabama,1988,2,3051000,1867903,61.2,1734381,56.8,133522,7.1
7687,2,Alaska,1988,2,346000,248045,71.7,225170,65.1,22875,9.2
7688,4,Arizona,1988,2,2552000,1646116,64.5,1541497,60.4,104619,6.4
7689,5,Arkansas,1988,2,1783000,1109327,62.2,1022955,57.4,86372,7.8
7690,6,California,1988,2,20811000,13986655,67.2,13236242,63.6,750413,5.4
7691,37,Los Angeles County,1988,2,6407500,4310181,67.3,4082709,63.7,227472,5.3
7692,8,Colorado,1988,2,2443000,1703519,69.7,1585551,64.9,117968,6.9
7693,9,Connecticut,1988,2,2514000,1744762,69.4,1694889,67.4,49873,2.9
7694,10,Delaware,1988,2,497000,342076,68.8,331353,66.7,10723,3.1
7695,11,District of Columbia,1988,2,469000,331081,70.6,313171,66.8,17910,5.4
7696,12,Florida,1988,2,9575000,6002867,62.7,5695192,59.5,307675,5.1
7697,13,Georgia,1988,2,4607000,3123405,67.8,2938581,63.8,184824,5.9
7698,15,Hawaii,1988,2,771000,517728,67.2,500780,65,16948,3.3
7699,16,Idaho,1988,2,714000,472459,66.2,441445,61.8,31014,6.6
7700,17,Illinois,1988,2,8773000,5802656,66.1,5396509,61.5,406147,7
7701,18,Indiana,1988,2,4180000,2771375,66.3,2626638,62.8,144737,5.2
7702,19,Iowa,1988,2,2145000,1471544,68.6,1402867,65.4,68677,4.7
7703,20,Kansas,1988,2,1841000,1273345,69.2,1215502,66,57843,4.5
7704,21,Kentucky,1988,2,2784000,1699496,61,1564977,56.2,134519,7.9
7705,22,Louisiana,1988,2,3179000,1932607,60.8,1712672,53.9,219935,11.4
7706,23,Maine,1988,2,909000,592874,65.2,571355,62.9,21519,3.6
7707,24,Maryland,1988,2,3489000,2449100,70.2,2341634,67.1,107466,4.4
7708,25,Massachusetts,1988,2,4604000,3127986,67.9,3029828,65.8,98158,3.1
7709,26,Michigan,1988,2,6958000,4534678,65.2,4167495,59.9,367183,8.1
7710,27,Minnesota,1988,2,3225000,2291582,71.1,2193384,68,98198,4.3
7711,28,Mississippi,1988,2,1883000,1143557,60.7,1047510,55.6,96047,8.4
7712,29,Missouri,1988,2,3888000,2572940,66.2,2434307,62.6,138633,5.4
7713,30,Montana,1988,2,596000,403818,67.8,375026,62.9,28792,7.1
7714,31,Nebraska,1988,2,1186000,811809,68.4,780615,65.8,31194,3.8
7715,32,Nevada,1988,2,786000,571552,72.7,539683,68.7,31869,5.6
7716,33,New Hampshire,1988,2,816000,593683,72.8,580263,71.1,13420,2.3
7717,34,New Jersey,1988,2,6024000,3969859,65.9,3819777,63.4,150082,3.8
7718,35,New Mexico,1988,2,1080000,682452,63.2,627559,58.1,54893,8
7719,36,New York,1988,2,13792000,8506600,61.7,8152981,59.1,353619,4.2
7720,51000,New York city,1988,2,5834500,3232433,55.4,3078805,52.8,153628,4.8
7721,37,North Carolina,1988,2,4850000,3301744,68.1,3172100,65.4,129644,3.9
7722,38,North Dakota,1988,2,482000,331401,68.8,315569,65.5,15832,4.8
7723,39,Ohio,1988,2,8208000,5296278,64.5,4957946,60.4,338332,6.4
7724,40,Oklahoma,1988,2,2390000,1535314,64.2,1434231,60,101083,6.6
7725,41,Oregon,1988,2,2107000,1417779,67.3,1333390,63.3,84389,6
7726,42,Pennsylvania,1988,2,9327000,5735139,61.5,5431253,58.2,303886,5.3
7727,44,Rhode Island,1988,2,766000,519194,67.8,502915,65.7,16279,3.1
7728,45,South Carolina,1988,2,2520000,1646568,65.3,1565257,62.1,81311,4.9
7729,46,South Dakota,1988,2,517000,356951,69,341884,66.1,15067,4.2
7730,47,Tennessee,1988,2,3707000,2340326,63.1,2205003,59.5,135323,5.8
7731,48,Texas,1988,2,12048000,8310909,69,7667981,63.6,642928,7.7
7732,49,Utah,1988,2,1093000,755396,69.1,715191,65.4,40205,5.3
7733,50,Vermont,1988,2,419000,298952,71.3,290148,69.2,8804,2.9
7734,51,Virginia,1988,2,4451000,3061386,68.8,2943971,66.1,117415,3.8
7735,53,Washington,1988,2,3447000,2298829,66.7,2146914,62.3,151915,6.6
7736,54,West Virginia,1988,2,1444000,747674,51.8,670554,46.4,77120,10.3
7737,55,Wisconsin,1988,2,3638000,2523725,69.4,2401851,66,121874,4.8
7738,56,Wyoming,1988,2,346000,237575,68.7,221973,64.2,15602,6.6
7739,1,Alabama,1988,3,3052000,1867489,61.2,1735716,56.9,131773,7.1
7740,2,Alaska,1988,3,346000,247825,71.6,225224,65.1,22601,9.1
7741,4,Arizona,1988,3,2557000,1648211,64.5,1542409,60.3,105802,6.4
7742,5,Arkansas,1988,3,1783000,1109023,62.2,1023003,57.4,86020,7.8
7743,6,California,1988,3,20848000,14014830,67.2,13267702,63.6,747128,5.3
7744,37,Los Angeles County,1988,3,6413100,4312760,67.2,4088413,63.8,224347,5.2
7745,8,Colorado,1988,3,2444000,1702169,69.6,1585775,64.9,116394,6.8
7746,9,Connecticut,1988,3,2515000,1743261,69.3,1694234,67.4,49027,2.8
7747,10,Delaware,1988,3,498000,343523,69,333053,66.9,10470,3
7748,11,District of Columbia,1988,3,469000,331832,70.8,314260,67,17572,5.3
7749,12,Florida,1988,3,9594000,6011087,62.7,5704687,59.5,306400,5.1
7750,13,Georgia,1988,3,4614000,3128378,67.8,2943898,63.8,184480,5.9
7751,15,Hawaii,1988,3,772000,517010,67,500398,64.8,16612,3.2
7752,16,Idaho,1988,3,714000,473485,66.3,443065,62.1,30420,6.4
7753,17,Illinois,1988,3,8777000,5800805,66.1,5397563,61.5,403242,7
7754,18,Indiana,1988,3,4182000,2775225,66.4,2631760,62.9,143465,5.2
7755,19,Iowa,1988,3,2146000,1476188,68.8,1408198,65.6,67990,4.6
7756,20,Kansas,1988,3,1842000,1273250,69.1,1215287,66,57963,4.6
7757,21,Kentucky,1988,3,2785000,1701192,61.1,1567320,56.3,133872,7.9
7758,22,Louisiana,1988,3,3176000,1929188,60.7,1711859,53.9,217329,11.3
7759,23,Maine,1988,3,910000,593120,65.2,572067,62.9,21053,3.5
7760,24,Maryland,1988,3,3495000,2453073,70.2,2345867,67.1,107206,4.4
7761,25,Massachusetts,1988,3,4606000,3130894,68,3031884,65.8,99010,3.2
7762,26,Michigan,1988,3,6961000,4535238,65.2,4176206,60,359032,7.9
7763,27,Minnesota,1988,3,3229000,2293690,71,2196387,68,97303,4.2
7764,28,Mississippi,1988,3,1883000,1141513,60.6,1047672,55.6,93841,8.2
7765,29,Missouri,1988,3,3890000,2574017,66.2,2433786,62.6,140231,5.4
7766,30,Montana,1988,3,596000,404039,67.8,375514,63,28525,7.1
7767,31,Nebraska,1988,3,1187000,812045,68.4,781313,65.8,30732,3.8
7768,32,Nevada,1988,3,789000,573702,72.7,542363,68.7,31339,5.5
7769,33,New Hampshire,1988,3,818000,594865,72.7,581552,71.1,13313,2.2
7770,34,New Jersey,1988,3,6026000,3968330,65.9,3819077,63.4,149253,3.8
7771,35,New Mexico,1988,3,1081000,683586,63.2,629402,58.2,54184,7.9
7772,36,New York,1988,3,13796000,8498645,61.6,8156087,59.1,342558,4
7773,51000,New York city,1988,3,5834400,3227107,55.3,3078815,52.8,148292,4.6
7774,37,North Carolina,1988,3,4856000,3300211,68,3175650,65.4,124561,3.8
7775,38,North Dakota,1988,3,482000,331082,68.7,315459,65.4,15623,4.7
7776,39,Ohio,1988,3,8214000,5300644,64.5,4965103,60.4,335541,6.3
7777,40,Oklahoma,1988,3,2388000,1530890,64.1,1431648,60,99242,6.5
7778,41,Oregon,1988,3,2111000,1419663,67.3,1335676,63.3,83987,5.9
7779,42,Pennsylvania,1988,3,9331000,5735656,61.5,5436693,58.3,298963,5.2
7780,44,Rhode Island,1988,3,766000,519642,67.8,503791,65.8,15851,3.1
7781,45,South Carolina,1988,3,2523000,1648506,65.3,1568427,62.2,80079,4.9
7782,46,South Dakota,1988,3,518000,357022,68.9,342050,66,14972,4.2
7783,47,Tennessee,1988,3,3710000,2337764,63,2203262,59.4,134502,5.8
7784,48,Texas,1988,3,12052000,8310563,69,7677058,63.7,633505,7.6
7785,49,Utah,1988,3,1094000,755700,69.1,716393,65.5,39307,5.2
7786,50,Vermont,1988,3,420000,299184,71.2,290632,69.2,8552,2.9
7787,51,Virginia,1988,3,4458000,3066894,68.8,2948838,66.1,118056,3.8
7788,53,Washington,1988,3,3454000,2300391,66.6,2150611,62.3,149780,6.5
7789,54,West Virginia,1988,3,1443000,747260,51.8,670710,46.5,76550,10.2
7790,55,Wisconsin,1988,3,3641000,2529901,69.5,2412293,66.3,117608,4.6
7791,56,Wyoming,1988,3,346000,237599,68.7,222250,64.2,15349,6.5
7792,1,Alabama,1988,4,3054000,1868204,61.2,1737319,56.9,130885,7
7793,2,Alaska,1988,4,346000,247679,71.6,225279,65.1,22400,9
7794,4,Arizona,1988,4,2561000,1650654,64.5,1543974,60.3,106680,6.5
7795,5,Arkansas,1988,4,1784000,1109022,62.2,1023357,57.4,85665,7.7
7796,6,California,1988,4,20886000,14047062,67.3,13300242,63.7,746820,5.3
7797,37,Los Angeles County,1988,4,6418800,4315080,67.2,4092708,63.8,222372,5.2
7798,8,Colorado,1988,4,2444000,1700919,69.6,1586045,64.9,114874,6.8
7799,9,Connecticut,1988,4,2516000,1743034,69.3,1693761,67.3,49273,2.8
7800,10,Delaware,1988,4,498000,345050,69.3,334763,67.2,10287,3
7801,11,District of Columbia,1988,4,468000,332372,71,315162,67.3,17210,5.2
7802,12,Florida,1988,4,9613000,6017900,62.6,5712872,59.4,305028,5.1
7803,13,Georgia,1988,4,4620000,3132811,67.8,2949311,63.8,183500,5.9
7804,15,Hawaii,1988,4,773000,516564,66.8,500212,64.7,16352,3.2
7805,16,Idaho,1988,4,715000,474812,66.4,444957,62.2,29855,6.3
7806,17,Illinois,1988,4,8781000,5801559,66.1,5402075,61.5,399484,6.9
7807,18,Indiana,1988,4,4185000,2780128,66.4,2636730,63,143398,5.2
7808,19,Iowa,1988,4,2147000,1481236,69,1413454,65.8,67782,4.6
7809,20,Kansas,1988,4,1843000,1273059,69.1,1214972,65.9,58087,4.6
7810,21,Kentucky,1988,4,2786000,1703342,61.1,1570154,56.4,133188,7.8
7811,22,Louisiana,1988,4,3174000,1926089,60.7,1711081,53.9,215008,11.2
7812,23,Maine,1988,4,912000,593965,65.1,572975,62.8,20990,3.5
7813,24,Maryland,1988,4,3500000,2457152,70.2,2350289,67.2,106863,4.3
7814,25,Massachusetts,1988,4,4608000,3133219,68,3033574,65.8,99645,3.2
7815,26,Michigan,1988,4,6963000,4535430,65.1,4185874,60.1,349556,7.7
7816,27,Minnesota,1988,4,3233000,2297153,71.1,2199532,68,97621,4.2
7817,28,Mississippi,1988,4,1884000,1140045,60.5,1047404,55.6,92641,8.1
7818,29,Missouri,1988,4,3893000,2577151,66.2,2433201,62.5,143950,5.6
7819,30,Montana,1988,4,596000,404172,67.8,375897,63.1,28275,7
7820,31,Nebraska,1988,4,1188000,812388,68.4,782085,65.8,30303,3.7
7821,32,Nevada,1988,4,792000,576017,72.7,545019,68.8,30998,5.4
7822,33,New Hampshire,1988,4,819000,596109,72.8,582670,71.1,13439,2.3
7823,34,New Jersey,1988,4,6029000,3967780,65.8,3818724,63.3,149056,3.8
7824,35,New Mexico,1988,4,1081000,684396,63.3,631010,58.4,53386,7.8
7825,36,New York,1988,4,13799000,8497368,61.6,8158999,59.1,338369,4
7826,51000,New York city,1988,4,5834300,3225273,55.3,3078129,52.8,147144,4.6
7827,37,North Carolina,1988,4,4862000,3299753,67.9,3180087,65.4,119666,3.6
7828,38,North Dakota,1988,4,482000,330848,68.6,315362,65.4,15486,4.7
7829,39,Ohio,1988,4,8220000,5303601,64.5,4973053,60.5,330548,6.2
7830,40,Oklahoma,1988,4,2387000,1527150,64,1429009,59.9,98141,6.4
7831,41,Oregon,1988,4,2114000,1421881,67.3,1337895,63.3,83986,5.9
7832,42,Pennsylvania,1988,4,9335000,5738521,61.5,5443609,58.3,294912,5.1
