"","District","cpr","cpr_num","inside_elections","inside_elections_num","crystal_ball","crystal_ball_num","avg"
"332","PA-08","Likely Democratic",2,"Lean Democratic",3,"Likely Democratic",2,2.33333333333333
"333","PA-09","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"334","PA-10","Toss-up",4,"Lean Republican",5,"Lean Republican",5,4.66666666666667
"335","PA-11","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"336","PA-12","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"337","PA-13","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"338","PA-14","Likely Republican",6,"Likely Republican",6,"Safe Republican",7,6.33333333333333
"339","PA-15","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"340","PA-16","Lean Republican",5,"Likely Republican",6,"Lean Republican",5,5.33333333333333
"341","PA-17","Likely Democratic",2,"Lean Democratic",3,"Likely Democratic",2,2.33333333333333
"342","PA-18","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"343","RI-01","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"344","RI-02","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"345","SC-01","Lean Republican",5,"Likely Republican",6,"Lean Republican",5,5.33333333333333
"346","SC-02","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"347","SC-03","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"348","SC-04","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"349","SC-05","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"350","SC-06","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"351","SC-07","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"352","SD-01","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"353","TN-01","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"354","TN-02","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"355","TN-03","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"356","TN-04","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"357","TN-05","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"358","TN-06","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"359","TN-07","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"360","TN-08","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"361","TN-09","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"362","TX-01","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"363","TX-02","Likely Republican",6,"Solid Republican",7,"Likely Republican",6,6.33333333333333
"364","TX-03","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"365","TX-04","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"366","TX-05","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"367","TX-06","Likely Republican",6,"Solid Republican",7,"Likely Republican",6,6.33333333333333
"368","TX-07","Toss-up",4,"Tilt Republican",4.5,"Lean Republican",5,4.5
"369","TX-08","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"370","TX-09","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"371","TX-10","Likely Republican",6,"Solid Republican",7,"Safe Republican",7,6.66666666666667
"372","TX-11","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"373","TX-12","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"374","TX-13","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"375","TX-14","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"376","TX-15","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"377","TX-16","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"378","TX-17","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"379","TX-18","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"380","TX-19","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"381","TX-20","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"382","TX-21","Likely Republican",6,"Likely Republican",6,"Likely Republican",6,6
"383","TX-22","Lean Republican",5,"Solid Republican",7,"Likely Republican",6,6
"384","TX-23","Lean Republican",5,"Lean Republican",5,"Lean Republican",5,5
"385","TX-24","Likely Republican",6,"Solid Republican",7,"Safe Republican",7,6.66666666666667
"386","TX-25","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"387","TX-26","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"388","TX-27","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"389","TX-28","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"390","TX-29","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"391","TX-30","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"392","TX-31","Likely Republican",6,"Likely Republican",6,"Likely Republican",6,6
"393","TX-32","Toss-up",4,"Toss-up",4,"Lean Democratic",3,3.66666666666667
"394","TX-33","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"395","TX-34","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"396","TX-35","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"397","TX-36","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"398","UT-01","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"399","UT-02","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"400","UT-03","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"401","UT-04","Toss-up",4,"Toss-up",4,"Lean Democratic",3,3.66666666666667
"402","VA-01","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"403","VA-02","Toss-up",4,"Tilt Republican",4.5,"Lean Democratic",3,3.83333333333333
"404","VA-03","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"405","VA-04","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"406","VA-05","Lean Republican",5,"Likely Republican",6,"Lean Republican",5,5.33333333333333
"407","VA-06","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"408","VA-07","Toss-up",4,"Toss-up",4,"Lean Democratic",3,3.66666666666667
"409","VA-08","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"410","VA-09","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"411","VA-10","Lean Democratic",3,"Tilt Democratic",3.5,"Lean Democratic",3,3.16666666666667
"412","VA-11","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"413","VT-01","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"414","WA-01","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"415","WA-02","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"416","WA-03","Lean Republican",5,"Likely Republican",6,"Lean Republican",5,5.33333333333333
"417","WA-04","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"418","WA-05","Lean Republican",5,"Likely Republican",6,"Lean Republican",5,5.33333333333333
"419","WA-06","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"420","WA-07","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"421","WA-08","Lean Democratic",3,"Toss-up",4,"Lean Democratic",3,3.33333333333333
"422","WA-09","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"423","WA-10","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"424","WI-01","Lean Republican",5,"Lean Republican",5,"Lean Republican",5,5
"425","WI-02","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"426","WI-03","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"427","WI-04","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"428","WI-05","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"429","WI-06","Likely Republican",6,"Solid Republican",7,"Likely Republican",6,6.33333333333333
"430","WI-07","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"431","WI-08","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"432","WV-01","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"433","WV-02","Likely Republican",6,"Solid Republican",7,"Safe Republican",7,6.66666666666667
"434","WV-03","Lean Republican",5,"Lean Republican",5,"Lean Republican",5,5
"435","WY-01","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
