"","pollster","sponsors","display_name","fte_grade","start_date","end_date","sample_size","population","year","election_date","candidate_name","state","st_fips","cd_fips","st_cd_fips","dem_cand","rep_cand","DEM","REP"
"292","Siena",NA,"Siena College","A","9/27/20","9/29/20","414","lv","2020","11/3/20","John Katko","New York","36","24","3624","Joyce Ann Elliott","John Katko","48","c(40, 42)"
"293","Anzalone Liszt Grove",NA,"ALG Research","B/C","9/27/20","9/29/20","511","lv","2020","11/3/20","French Hill","Arkansas","05","02","0502","Xochitl Torres Small","French Hill","47","48"
"294","Tarrance","NRCC","Tarrance Group","B+","9/26/20","9/29/20","400","lv","2020","11/3/20","Yvette Herrell","New Mexico","35","02","3502","Desiree Tims","Yvette Herrell","42","48"
"295","Garin Hart Yang",NA,"Garin-Hart-Yang Research Group","B-","9/26/20","9/29/20","400","lv","2020","11/3/20","Mike Turner","Ohio","39","10","3910","Patricia Timmons-Goodson","Mike Turner","42","49"
"296","brilliant corners Research & Strategies",NA,"brilliant corners Research & Strategies","B/C","9/28/20","9/28/20","614","lv","2020","11/3/20","Richard Hudson","North Carolina","37","08","3708","Abby Finkenauer","Richard Hudson","45","44"
"297","Basswood Research","Congressional Leadership Fund","Basswood Research","B/C","9/26/20","9/28/20","400","lv","2020","11/3/20","Ashley Hinson","Iowa","19","01","1901","Chris Pappas","Ashley Hinson","56","45"
"298","U. New Hampshire",NA,"University of New Hampshire","B-","9/24/20","9/28/20","504","lv","2020","11/3/20","Matt Mowers","New Hampshire","33","01","3301","Ann McLane Kuster","Matt Mowers","48","38"
"299","U. New Hampshire",NA,"University of New Hampshire","B-","9/24/20","9/28/20","463","lv","2020","11/3/20","Steven Negron","New Hampshire","33","02","3302","Kara Eastman","Steven Negron","43","42"
"300","Siena College/NYT Upshot",NA,"Siena College/The New York Times Upshot","A+","9/25/20","9/27/20","420","lv","2020","11/3/20","Don Bacon","Nebraska","31","02","3102","Margaret Good","Don Bacon","43","45"
"301","Global Strategy Group",NA,"Global Strategy Group","B/C","9/24/20","9/27/20","500","lv","2020","11/3/20","Vern Buchanan","Florida","12","16","1216","Sri Kulkarni","Vern Buchanan","47","49"
"302","GBAO",NA,"GBAO","B/C","9/24/20","9/27/20","500","lv","2020","11/3/20","Troy E. Nehls","Texas","48","22","4822","Hiral Tipirneni","Troy E. Nehls","46","44"
"303","OH Predictive Insights / MBQF",NA,"OH Predictive Insights","B/C","9/23/20","9/27/20","531","lv","2020","11/3/20","David Schweikert","Arizona","04","06","0406","Lisa Blunt Rochester","David Schweikert","51","49"
"304","University of Delaware",NA,"University of Delaware",NA,"9/21/20","9/27/20","847","lv","2020","11/3/20","Lee Murphy","Delaware","10","01","1001","Carolyn Long","Lee Murphy","47","29"
"305","Greenberg Quinlan Rosner",NA,"GQR","B","9/24/20","9/26/20","400","lv","2020","11/3/20","Jaime Herrera Beutler","Washington","53","03","5303","Hiral Tipirneni","Jaime Herrera Beutler","49","49"
"306","Greenberg Quinlan Rosner",NA,"GQR","B","9/23/20","9/26/20","500","lv","2020","11/3/20","David Schweikert","Arizona","04","06","0406","Eugene A. DePasquale","David Schweikert","50","45"
"307","Victoria Research","House Majority PAC","Victoria Research & Consulting","B/C","9/22/20","9/24/20","401","lv","2020","11/3/20","Scott Perry","Pennsylvania","42","10","4210","Morris Durham Davis","Scott Perry","46","43"
"308","EMC Research",NA,"EMC Research","B/C","9/22/20","9/24/20","400","lv","2020","11/3/20","David Madison Cawthorn","North Carolina","37","11","3711","Susan Wild","David Madison Cawthorn","52","42"
"309","Muhlenberg","Morning Call","Muhlenberg College","B+","9/21/20","9/24/20","414","lv","2020","11/3/20","Lisa Scheller","Pennsylvania","42","07","4207","Mike Siegel","Lisa Scheller","43","39"
"310","GBAO",NA,"GBAO","B/C","9/21/20","9/24/20","400","lv","2020","11/3/20","Michael McCaul","Texas","48","10","4810","Hiral Tipirneni","Michael McCaul","43","45"
"311","PPP","House Majority PAC","Public Policy Polling","A-","9/22/20","9/23/20","527","v","2020","11/3/20","David Schweikert","Arizona","04","06","0406","Christy Smith","David Schweikert","51","45"
"312","Normington, Petts & Associates","House Majority PAC","Normington, Petts & Associates","B/C","9/21/20","9/23/20","400","lv","2020","11/3/20","Mike Garcia","California","06","25","0625","Jared Forrest Golden","Mike Garcia","56","45"
"313","Colby College",NA,"Colby College","B/C","9/17/20","9/23/20","275","lv","2020","11/3/20","Dale John Crafts","Maine","23","02","2302","Sara Jacobs","Dale John Crafts","38","33"
"314","SurveyUSA","KGTV-TV (California) | San Diego Union-Tribune","SurveyUSA","A","9/18/20","9/21/20","534","lv","2020","11/3/20","Georgette Gómez","California","06","53","0653","Georgette Gómez","Peter Meijer","24","48"
"315","We Ask America",NA,"We Ask America","B-","9/19/20","9/20/20","400","lv","2020","11/3/20","Peter Meijer","Michigan","26","03","2603","Betsy Dirksen Londrigan","Peter Meijer","47","48"
"316","GBAO",NA,"GBAO","B/C","9/17/20","9/20/20","500","lv","2020","11/3/20","Rodney Davis","Illinois","17","13","1713","Hillary Scholten","Rodney Davis","44","48"
"317","Anzalone Liszt Grove","DCCC","ALG Research","B/C","9/16/20","9/20/20","501","lv","2020","11/3/20","Peter Meijer","Michigan","26","03","2603","Pamela Michele Keith","Peter Meijer","42","42"
"318","St. Pete Polls","Florida Politics","St. Pete Polls","B+","9/18/20","9/18/20","1149","lv","2020","11/3/20","Brian Mast","Florida","12","18","1218","Amy Kennedy","Brian Mast","c(49, 46)","50"
"319","Anzalone Liszt Grove",NA,"ALG Research","B/C","9/14/20","9/17/20","505","lv","2020","11/3/20","Jeff Van Drew","New Jersey","34","02","3402","Kara Eastman","Jeff Van Drew","45","c(44, 42)"
"320","Global Strategy Group","House Majority PAC","Global Strategy Group","B/C","9/14/20","9/16/20","400","lv","2020","11/3/20","Don Bacon","Nebraska","31","02","3102","Kathleen Williams","Don Bacon","44","45"
"321","Siena College/NYT Upshot",NA,"Siena College/The New York Times Upshot","A+","9/14/20","9/16/20","625","lv","2020","11/3/20","Matt Rosendale","Montana","30","01","3001","Christina M. Finello","Matt Rosendale","36","41"
"322","American Viewpoint","Congressional Leadership Fund","American Viewpoint","B/C","9/14/20","9/16/20","400","lv","2020","11/3/20","Brian Fitzpatrick","Pennsylvania","42","01","4201","Jared Forrest Golden","Brian Fitzpatrick","56","52"
"323","Siena College/NYT Upshot",NA,"Siena College/The New York Times Upshot","A+","9/11/20","9/16/20","440","lv","2020","11/3/20","Dale John Crafts","Maine","23","02","2302","Joyce Ann Elliott","Dale John Crafts","48","37"
"324","brilliant corners Research & Strategies","Emily's List | House Majority PAC | National Education Association | Black PAC","brilliant corners Research & Strategies","B/C","9/10/20","9/16/20","605","lv","2020","11/3/20","French Hill","Arkansas","05","02","0502","Amy Kennedy","French Hill","48","46"
"325","PPP","House Majority PAC","Public Policy Polling","A-","9/14/20","9/15/20","550","v","2020","11/3/20","Jeff Van Drew","New Jersey","34","02","3402","Helane Seikaly","Jeff Van Drew","43","43"
"326","Global Strategy Group","DCCC","Global Strategy Group","B/C","9/10/20","9/15/20","400","lv","2020","11/3/20","Van Taylor","Texas","48","03","4803","Peter Welch","Van Taylor","56.61","44"
"327","Braun","Vermont Public Radio | Vermont PBS","Braun Research","B/C","9/3/20","9/15/20","586","lv","2020","11/3/20","Miriam Berry","Vermont","50","01","5001","Mike Levin","Miriam Berry","49","17.58"
"328","SurveyUSA","KGTV-TV (California) | San Diego Union-Tribune","SurveyUSA","A","9/11/20","9/14/20","517","lv","2020","11/3/20","Brian Maryott","California","06","49","0649","Bryant Cameron Webb","Brian Maryott","46","37"
"329","Global Strategy Group","314 Action","Global Strategy Group","B/C","9/10/20","9/14/20","400","lv","2020","11/3/20","Bob Good","Virginia","51","05","5105","Jill Schupp","Bob Good","49","47"
"330","Normington, Petts & Associates","House Majority PAC","Normington, Petts & Associates","B/C","9/10/20","9/14/20","400","lv","2020","11/3/20","Ann Wagner","Missouri","29","02","2902","Diane Mitsch Bush","Ann Wagner","46","49"
"331","Expedition Strategies","House Majority PAC","Expedition Strategies",NA,"9/9/20","9/14/20","754","lv","2020","11/3/20","Lauren Boebert","Colorado","08","03","0803","Joyce Ann Elliott","Lauren Boebert","46","44"
"332","Anzalone Liszt Grove",NA,"ALG Research","B/C","9/9/20","9/13/20","511","lv","2020","11/3/20","French Hill","Arkansas","05","02","0502","Ben McAdams","French Hill","45","50"
"333","RMG Research","Deseret News","RMG Research","B-","9/7/20","9/12/20","800","lv","2020","11/3/20","Burgess Owens","Utah","49","04","4904","Ben McAdams","Burgess Owens","47.2","41"
"334","Lighthouse Research","Utah Debate Comission","Lighthouse Research",NA,"8/31/20","9/12/20","498","rv","2020","11/3/20","Burgess Owens","Utah","49","04","4904","Devin D. Thorpe","Burgess Owens","20.4","36.7"
"335","Lighthouse Research","Utah Debate Comission","Lighthouse Research",NA,"8/31/20","9/12/20","496","rv","2020","11/3/20","John Curtis","Utah","49","03","4903","Kael Weston","John Curtis","28.4","50.6"
"336","Lighthouse Research","Utah Debate Comission","Lighthouse Research",NA,"8/31/20","9/12/20","496","rv","2020","11/3/20","Chris Stewart","Utah","49","02","4902","Darren Parry","Chris Stewart","22.4","47.8"
"337","Lighthouse Research","Utah Debate Comission","Lighthouse Research",NA,"8/31/20","9/12/20","496","rv","2020","11/3/20","Blake D. Moore","Utah","49","01","4901","Dan Feehan","Blake D. Moore","41","48.6"
"338","PPP","End Citizens United","Public Policy Polling","A-","9/10/20","9/11/20","885","v","2020","11/3/20","Jim Hagedorn","Minnesota","27","01","2701","Hillary Scholten","Jim Hagedorn","41","41"
"339","Global Strategy Group","House Majority PAC","Global Strategy Group","B/C","9/8/20","9/10/20","400","lv","2020","11/3/20","Peter Meijer","Michigan","26","03","2603","TJ Cox","Peter Meijer","38","41"
"340","American Viewpoint","Congressional Leadership Fund","American Viewpoint","B/C","9/8/20","9/10/20","400","lv","2020","11/3/20","David G. Valadao","California","06","21","0621","Kendra Horn","David G. Valadao","44.2","49"
"341","SoonerPoll.com","KWTV-DT Oklahoma City | KOTV-DT Tulsa","SoonerPoll","C+","9/2/20","9/10/20","318","lv","2020","11/3/20","Stephanie Bice","Oklahoma","40","05","4005","Joyce Ann Elliott","Stephanie Bice","46","44.8"
"342","Hendrix College","Talk Business & Politics","Hendrix College","B/C","9/4/20","9/9/20","698","lv","2020","11/3/20","French Hill","Arkansas","05","02","0502","Marie Newman","French Hill","46.1","47.5"
"343","Ogden & Fry","Cook County Republican Party","Ogden & Fry","B/C","9/7/20","9/7/20","759","lv","2020","11/3/20","Mike Fricilone","Illinois","17","03","1703","Ammar Campa-Najjar","Mike Fricilone","45","43.9"
"344","SurveyUSA","KGTV-TV (California) | San Diego Union-Tribune","SurveyUSA","A","9/4/20","9/7/20","508","lv","2020","11/3/20","Darrell Issa","California","06","50","0650","Alan M. Cohn","Darrell Issa","42","46"
"345","Greenberg Quinlan Rosner",NA,"GQR","B","9/4/20","9/6/20","400","lv","2020","11/3/20","Scott Franklin","Florida","12","15","1215","Donna E. Shalala","Scott Franklin","42.8","49"
"346","1892 Polling","NRCC","1892 Polling","B/C","9/2/20","9/6/20","400","lv","2020","11/3/20","María Elvira Salazar","Florida","12","27","1227","Julie Oliver","María Elvira Salazar","41","45.5"
"347","EMC Research",NA,"EMC Research","B/C","9/2/20","9/5/20","400","lv","2020","11/3/20","Roger Williams","Texas","48","25","4825","Jared Forrest Golden","Roger Williams","53","43"
"348","Fabrizio Ward/Hart Research Associates","AARP","Fabrizio Ward/Hart Research Associates",NA,"8/30/20","9/5/20","367","lv","2020","11/3/20","Dale John Crafts","Maine","23","02","2302","Wendy R. Davis","Dale John Crafts","48","40"
"349","Garin Hart Yang",NA,"Garin-Hart-Yang Research Group","B-","8/31/20","9/4/20","401","lv","2020","11/3/20","Chip Roy","Texas","48","21","4821","Conor Lamb","Chip Roy","45","47"
"350","OnMessage Inc.",NA,"OnMessage","B/C","9/2/20","9/3/20","400","lv","2020","11/3/20","Richard Sean Parnell","Pennsylvania","42","17","4217","Kendra Horn","Richard Sean Parnell","52","44"
"351","Normington, Petts & Associates",NA,"Normington, Petts & Associates","B/C","8/31/20","9/3/20","400","lv","2020","11/3/20","Stephanie Bice","Oklahoma","40","05","4005","Kate Schroder","Stephanie Bice","50","44"
"352","Normington, Petts & Associates","House Majority PAC","Normington, Petts & Associates","B/C","8/30/20","9/3/20","400","lv","2020","11/3/20","Steve Chabot","Ohio","39","01","3901","Eugene A. DePasquale","Steve Chabot","43.6","46"
"353","Pulse Research","York Dispatch","Pulse Research",NA,"8/18/20","9/3/20","1100","lv","2020","11/3/20","Scott Perry","Pennsylvania","42","10","4210","Donna Deegan","Scott Perry","34.8","46.2"
"354","St. Pete Polls","Florida Politics","St. Pete Polls","B+","9/2/20","9/2/20","1072","lv","2020","11/3/20","John Rutherford","Florida","12","04","1204","Julie Oliver","John Rutherford","40","61.4"
"355","Remington",NA,"Remington Research Group","B","9/1/20","9/2/20","810","lv","2020","11/3/20","Roger Williams","Texas","48","25","4825","Debra A. Haaland","Roger Williams","58","52"
"356","Research & Polling","Albuquerque Journal","Research & Polling","A","8/26/20","9/2/20","418","lv","2020","11/3/20","Michelle Garcia Holmes","New Mexico","35","01","3501","Xochitl Torres Small","Michelle Garcia Holmes","47","31"
"357","Research & Polling","Albuquerque Journal","Research & Polling","A","8/26/20","9/2/20","404","lv","2020","11/3/20","Yvette Herrell","New Mexico","35","02","3502","Teresa Leger Fernandez","Yvette Herrell","50","45"
"358","Research & Polling","Albuquerque Journal","Research & Polling","A","8/26/20","9/2/20","301","lv","2020","11/3/20","Alexis Martinez Johnson","New Mexico","35","03","3503","Eugene A. DePasquale","Alexis Martinez Johnson","50","35"
"359","GBAO",NA,"GBAO","B/C","8/30/20","9/1/20","500","lv","2020","11/3/20","Scott Perry","Pennsylvania","42","10","4210","Chris Pappas","Scott Perry","52","46"
"360","U. New Hampshire",NA,"University of New Hampshire","B-","8/28/20","9/1/20","925","lv","2020","11/3/20","Matt Mowers","New Hampshire","33","01","3301","Chris Pappas","Matt Mowers","52","34"
"361","U. New Hampshire",NA,"University of New Hampshire","B-","8/28/20","9/1/20","926","lv","2020","11/3/20","Matt Mayberry","New Hampshire","33","01","3301","Ann McLane Kuster","Matt Mayberry","52","34"
"362","U. New Hampshire",NA,"University of New Hampshire","B-","8/28/20","9/1/20","917","lv","2020","11/3/20","Steven Negron","New Hampshire","33","02","3302","Ann McLane Kuster","Steven Negron","52","40"
"363","U. New Hampshire",NA,"University of New Hampshire","B-","8/28/20","9/1/20","920","lv","2020","11/3/20","Lynne Blankenbeker","New Hampshire","33","02","3302","Charlie Crist","Lynne Blankenbeker","54.8","39"
"364","St. Pete Polls","Florida Politics","St. Pete Polls","B+","8/29/20","8/30/20","2160","lv","2020","11/3/20","Anna Paulina Luna","Florida","12","13","1213","Christy Smith","Anna Paulina Luna","45","38.6"
"365","Global Strategy Group","DCCC","Global Strategy Group","B/C","8/26/20","8/30/20","400","lv","2020","11/3/20","Mike Garcia","California","06","25","0625","Margaret Good","Mike Garcia","35","46"
"366","Data Targeting",NA,"Data Targeting","B/C","8/27/20","8/29/20","400","lv","2020","11/3/20","Vern Buchanan","Florida","12","16","1216","Jared Forrest Golden","Vern Buchanan","49.5","51"
"367","LOC Wick","Left of Center","LOC Wick",NA,"8/25/20","8/28/20","400","lv","2020","11/3/20","Dale John Crafts","Maine","23","02","2302","Jon Hoadley","Dale John Crafts","39.87","44.25"
"368","LOC Wick","Left of Center","LOC Wick",NA,"8/25/20","8/28/20","400","lv","2020","11/3/20","Fred Upton","Michigan","26","06","2606","Marilyn Strickland","Fred Upton","43","45.64"
"369","Greenberg Quinlan Rosner",NA,"GQR","B","8/24/20","8/28/20","400","lv","2020","11/3/20","Beth Doglio","Washington","53","10","5310","Beth Doglio","John Carter","22","43"
"370","PPP",NA,"Public Policy Polling","A-","8/26/20","8/27/20","831","v","2020","11/3/20","John Carter","Texas","48","31","4831","Kathleen Williams","John Carter","51","43"
"371","Expedition Strategies","House Majority PAC","Expedition Strategies",NA,"8/22/20","8/27/20","400","lv","2020","11/3/20","Matt Rosendale","Montana","30","01","3001","Dana Balter","Matt Rosendale","48","48"
"372","GBAO",NA,"GBAO","B/C","8/23/20","8/25/20","500","lv","2020","11/3/20","John Katko","New York","36","24","3624","Rick Kennedy","John Katko","42","46"
"373","Lincoln Park Strategies",NA,"Lincoln Park Strategies",NA,"8/22/20","8/23/20","1160","lv","2020","11/3/20","Pete Sessions","Texas","48","17","4817","Wendy R. Davis","Pete Sessions","46","45"
"374","Anzalone Liszt Grove","End Citizens United","ALG Research","B/C","8/15/20","8/20/20","500","lv","2020","11/3/20","Chip Roy","Texas","48","21","4821","Christina Hale","Chip Roy","47","46"
"375","Global Strategy Group","House Majority PAC","Global Strategy Group","B/C","8/17/20","8/19/20","400","lv","2020","11/3/20","Victoria Spartz","Indiana","18","05","1805","Christina M. Finello","Victoria Spartz","35","40"
"376","DFM Research","SMART Transportation Division","DFM Research","B/C","8/16/20","8/18/20","384","lv","2020","11/3/20","Brian Fitzpatrick","Pennsylvania","42","01","4201","Lucy McBath","Brian Fitzpatrick","50","47"
"377","Greenberg Quinlan Rosner","End Citizens United","GQR","B","8/11/20","8/16/20","401","lv","2020","11/3/20","Karen Handel","Georgia","13","06","1306","Dana Balter","Karen Handel","40","47"
"378","POS",NA,"Public Opinion Strategies","A-","8/12/20","8/15/20","400","lv","2020","11/3/20","John Katko","New York","36","24","3624","Jill Schupp","John Katko","45","51"
"379","PPP","House Majority PAC","Public Policy Polling","A-","8/13/20","8/14/20","925","v","2020","11/3/20","Ann Wagner","Missouri","29","02","2902","Hiral Tipirneni","Ann Wagner","48","42"
"380","Greenberg Quinlan Rosner",NA,"GQR","B","8/6/20","8/12/20","548","lv","2020","11/3/20","David Schweikert","Arizona","04","06","0406","Kathleen Williams","David Schweikert","45","45"
"381","WPA Intelligence","Club for Growth","WPA Intelligence","B/C","8/9/20","8/11/20","500","lv","2020","11/3/20","Matt Rosendale","Montana","30","01","3001","Christina Hale","Matt Rosendale","50","51"
"382","Tulchin Research","DCCC","Tulchin Research","B/C","8/5/20","8/10/20","400","lv","2020","11/3/20","Victoria Spartz","Indiana","18","05","1805","Nancy Goroff","Victoria Spartz","48","44"
"383","Tulchin Research","DCCC","Tulchin Research","B/C","8/5/20","8/10/20","400","lv","2020","11/3/20","Lee M. Zeldin","New York","36","01","3601","Eugene A. DePasquale","Lee M. Zeldin","46","46"
"384","DFM Research","SMART Transportation Division","DFM Research","B/C","8/6/20","8/9/20","384","lv","2020","11/3/20","Scott Perry","Pennsylvania","42","10","4210","Gina Ortiz Jones","Scott Perry","41","44"
"385","POS",NA,"Public Opinion Strategies","A-","8/6/20","8/9/20","400","rv","2020","11/3/20","Tony Gonzales","Texas","48","23","4823","Kendra Horn","Tony Gonzales","51","40"
"386","Greenberg Quinlan Rosner","DCCC","GQR","B","8/5/20","8/9/20","500","lv","2020","11/3/20","Stephanie Bice","Oklahoma","40","05","4005","Chellie M. Pingree","Stephanie Bice","48","46"
"387","Critical Insights","Bangor Daily News","Critical Insights","B/C","7/28/20","8/9/20","250","rv","2020","11/3/20","Jay T. Allen","Maine","23","01","2301","Jared Forrest Golden","Jay T. Allen","42","21"
"388","Critical Insights","Bangor Daily News","Critical Insights","B/C","7/28/20","8/9/20","249","rv","2020","11/3/20","Dale John Crafts","Maine","23","02","2302","Chellie M. Pingree","Dale John Crafts","50","33"
"389","Critical Insights","Bangor Daily News","Critical Insights","B/C","7/28/20","8/9/20","234","lv","2020","11/3/20","Jay T. Allen","Maine","23","01","2301","Jared Forrest Golden","Jay T. Allen","46","22"
"390","Critical Insights","Bangor Daily News","Critical Insights","B/C","7/28/20","8/9/20","218","lv","2020","11/3/20","Dale John Crafts","Maine","23","02","2302","Dan Feehan","Dale John Crafts","38","36"
"391","RMG Research","United States Term Limits","RMG Research","B-","7/31/20","8/7/20","500","rv","2020","11/3/20","Jim Hagedorn","Minnesota","27","01","2701","Betsy Dirksen Londrigan","Jim Hagedorn","43","41"
"392","RMG Research","United States Term Limits","RMG Research","B-","7/27/20","8/7/20","500","rv","2020","11/3/20","Rodney Davis","Illinois","17","13","1713","Morris Durham Davis","Rodney Davis","41","41"
"393","DCCC Targeting Team","DCCC","DCCC Targeting and Analytics Department","B/C","8/5/20","8/6/20","500","lv","2020","11/3/20","David Madison Cawthorn","North Carolina","37","11","3711","Amy Kennedy","David Madison Cawthorn","51","46"
"394","Greenberg Quinlan Rosner","DCCC","GQR","B","8/4/20","8/6/20","400","lv","2020","11/3/20","Jeff Van Drew","New Jersey","34","02","3402","Christina Hale","Jeff Van Drew","40","46"
"395","WPA Intelligence","Club for Growth","WPA Intelligence","B/C","8/4/20","8/6/20","400","lv","2020","11/3/20","Victoria Spartz","Indiana","18","05","1805","Diane Mitsch Bush","Victoria Spartz","43","47"
"396","Greenberg Quinlan Rosner",NA,"GQR","B","8/3/20","8/6/20","400","lv","2020","11/3/20","Lauren Boebert","Colorado","08","03","0803","Jon Hoadley","Lauren Boebert","40","42"
"397","RMG Research","United States Term Limits","RMG Research","B-","7/30/20","8/6/20","500","rv","2020","11/3/20","Fred Upton","Michigan","26","06","2606","Nancy Goroff","Fred Upton","42","36"
"398","Global Strategy Group",NA,"Global Strategy Group","B/C","8/3/20","8/5/20","400","lv","2020","11/3/20","Lee M. Zeldin","New York","36","01","3601","Collin Peterson","Lee M. Zeldin","42","47"
"399","Tarrance","Congressional Leadership Fund","Tarrance Group","B+","8/2/20","8/5/20","413","lv","2020","11/3/20","Michelle Fischbach","Minnesota","27","07","2707","Amy Kennedy","Michelle Fischbach","46","52"
"400","Global Strategy Group","House Majority PAC","Global Strategy Group","B/C","8/1/20","8/5/20","400","lv","2020","11/3/20","Jeff Van Drew","New Jersey","34","02","3402","Christine Bubser","Jeff Van Drew","38","45"
"401","Global Strategy Group",NA,"Global Strategy Group","B/C","8/1/20","8/5/20","400","lv","2020","11/3/20","Jay Obernolte","California","06","08","0608","Amy Kennedy","Jay Obernolte","39","48"
"402","RMG Research","United States Term Limits","RMG Research","B-","7/30/20","8/5/20","500","rv","2020","11/3/20","Jeff Van Drew","New Jersey","34","02","3402","Helane Seikaly","Jeff Van Drew","35","42"
"403","POS",NA,"Public Opinion Strategies","A-","8/1/20","8/4/20","500","lv","2020","11/3/20","Van Taylor","Texas","48","03","4803","Bryant Cameron Webb","Van Taylor","42","48"
"404","Global Strategy Group",NA,"Global Strategy Group","B/C","7/30/20","8/4/20","500","lv","2020","11/3/20","Bob Good","Virginia","51","05","5105","Dana Balter","Bob Good","37","44"
"405","RMG Research","United States Term Limits","RMG Research","B-","7/29/20","8/4/20","500","rv","2020","11/3/20","John Katko","New York","36","24","3624","Carolyn Long","John Katko","40","40"
"406","RMG Research","United States Term Limits","RMG Research","B-","7/29/20","8/4/20","500","rv","2020","11/3/20","Jaime Herrera Beutler","Washington","53","03","5303","Bryant Cameron Webb","Jaime Herrera Beutler","42","44"
"407","Global Strategy Group","314 Action","Global Strategy Group","B/C","7/29/20","8/3/20","500","lv","2020","11/3/20","Bob Good","Virginia","51","05","5105","Mike Siegel","Bob Good","39","48"
"408","RMG Research","United States Term Limits","RMG Research","B-","7/28/20","8/3/20","500","rv","2020","11/3/20","Michael McCaul","Texas","48","10","4810","Abby Finkenauer","Michael McCaul","51","46"
"409","Monmouth U.",NA,"Monmouth University","A","7/25/20","8/3/20","391","rv","2020","11/3/20","Ashley Hinson","Iowa","19","01","1901","Abby Finkenauer","Ashley Hinson","c(52, 52)","41"
"410","Monmouth U.",NA,"Monmouth University","A","7/25/20","8/3/20","391","lv","2020","11/3/20","Ashley Hinson","Iowa","19","01","1901","Rita R. Hart","Ashley Hinson","44","c(41, 40)"
"411","Monmouth U.",NA,"Monmouth University","A","7/25/20","8/3/20","374","rv","2020","11/3/20","Mariannette Miller-Meeks","Iowa","19","02","1902","Rita R. Hart","Mariannette Miller-Meeks","c(44, 45)","47"
"412","Monmouth U.",NA,"Monmouth University","A","7/25/20","8/3/20","374","lv","2020","11/3/20","Mariannette Miller-Meeks","Iowa","19","02","1902","Cindy Axne","Mariannette Miller-Meeks","48","c(48, 48)"
"413","Monmouth U.",NA,"Monmouth University","A","7/25/20","8/3/20","507","rv","2020","11/3/20","David Young","Iowa","19","03","1903","Cindy Axne","David Young","c(50, 52)","42"
"414","Monmouth U.",NA,"Monmouth University","A","7/25/20","8/3/20","507","lv","2020","11/3/20","David Young","Iowa","19","03","1903","J.D. Scholten","David Young","34","c(42, 41)"
"415","Monmouth U.",NA,"Monmouth University","A","7/25/20","8/3/20","393","rv","2020","11/3/20","Randy Feenstra","Iowa","19","04","1904","J.D. Scholten","Randy Feenstra","c(34, 33)","54"
"416","Monmouth U.",NA,"Monmouth University","A","7/25/20","8/3/20","393","lv","2020","11/3/20","Randy Feenstra","Iowa","19","04","1904","Thomas Suozzi","Randy Feenstra","50","c(55, 56)"
"417","Douma Research",NA,"Douma Research",NA,"8/1/20","8/2/20","550","lv","2020","11/3/20","George A.D. Santos","New York","36","03","3603","Candace Valenzuela","George A.D. Santos","48","39"
"418","Victoria Research","House Majority PAC","Victoria Research & Consulting","B/C","7/31/20","8/2/20","400","lv","2020","11/3/20","Beth Van Duyne","Texas","48","24","4824","Sri Kulkarni","Beth Van Duyne","46","41"
"419","GBAO",NA,"GBAO","B/C","7/29/20","8/2/20","400","lv","2020","11/3/20","Troy E. Nehls","Texas","48","22","4822","Sara Jacobs","Troy E. Nehls","32","46"
"420","RMG Research","United States Term Limits","RMG Research","B-","7/27/20","8/2/20","500","rv","2020","11/3/20","Georgette Gómez","California","06","53","0653","Georgette Gómez","Beth Van Duyne","17","36"
"421","RMG Research","United States Term Limits","RMG Research","B-","7/27/20","8/2/20","500","rv","2020","11/3/20","Beth Van Duyne","Texas","48","24","4824","Sri Kulkarni","Beth Van Duyne","39","36"
"422","RMG Research","United States Term Limits","RMG Research","B-","7/27/20","8/2/20","500","rv","2020","11/3/20","Troy E. Nehls","Texas","48","22","4822","Hiral Tipirneni","Troy E. Nehls","43","39"
"423","DCCC Targeting Team","DCCC","DCCC Targeting and Analytics Department","B/C","7/29/20","8/1/20","586","lv","2020","11/3/20","David Schweikert","Arizona","04","06","0406","Ben McAdams","David Schweikert","35","46"
"424","RMG Research","Deseret News | Hinckley Institute of Politics","RMG Research","B-","7/27/20","8/1/20","800","rv","2020","11/3/20","Burgess Owens","Utah","49","04","4904","Michelle De La Isla","Burgess Owens","41","35"
"425","DCCC Targeting Team","DCCC","DCCC Targeting and Analytics Department","B/C","7/29/20","7/30/20","488","lv","2020","11/3/20","Jake LaTurner","Kansas","20","02","2002","Gilbert Cisneros","Jake LaTurner","47","45"
"426","POS","NRCC","Public Opinion Strategies","A-","7/27/20","7/30/20","400","lv","2020","11/3/20","Young Kim","California","06","39","0639","Patricia Timmons-Goodson","Young Kim","41","45"
"427","brilliant corners Research & Strategies",NA,"brilliant corners Research & Strategies","B/C","7/23/20","7/30/20","800","lv","2020","11/3/20","Richard Hudson","North Carolina","37","08","3708","Conor Lamb","Richard Hudson","50","43"
"428","OnMessage Inc.",NA,"OnMessage","B/C","7/27/20","7/29/20","400","lv","2020","11/3/20","Richard Sean Parnell","Pennsylvania","42","17","4217","Kara Eastman","Richard Sean Parnell","42","41"
"429","Global Strategy Group","House Majority PAC","Global Strategy Group","B/C","7/27/20","7/29/20","400","lv","2020","11/3/20","Don Bacon","Nebraska","31","02","3102","Rita R. Hart","Don Bacon","41","47"
