Count,pollster,sample_size,type,bmonth,bday,year,emonth,eday,days_until_election,poll_date,party,support,President_party,H_incumbent,D_majorvote_pct,R_majorvote_pct,D_totalvote_pct,R_totalvote_pct,resid,unrate
917,NA,1143.180298,NA,10,8,1998,10,10,25,1998-10-10,D,49,D,D,49.39,50.61,47.77,48.95,0.39000000000000057,4.5
918,NA,1000,NA,7,22,1998,7,26,102,1998-07-26,D,29,D,D,49.39,50.61,47.77,48.95,20.39,4.5
919,NA,514,NA,8,21,1998,8,23,73,1998-08-23,D,44,D,D,49.39,50.61,47.77,48.95,5.390000000000001,4.5
921,NA,1155.095459,NA,10,29,1998,11,1,3.5,1998-11-01,D,46,D,D,49.39,50.61,47.77,48.95,3.3900000000000006,4.5
922,NA,642,NA,8,20,1998,8,21,74.5,1998-08-21,D,47,D,D,49.39,50.61,47.77,48.95,2.3900000000000006,4.5
923,NA,1100,NA,5,31,1998,6,4,154,1998-06-04,D,44,D,D,49.39,50.61,47.77,48.95,5.390000000000001,4.5
924,NA,1766,NA,10,29,1998,11,1,3.5,1998-11-01,D,50,D,D,49.39,50.61,47.77,48.95,-0.6099999999999994,4.5
925,NA,1246.997559,NA,1,28,1998,1,31,277.5,1998-01-31,D,49,D,D,49.39,50.61,47.77,48.95,0.39000000000000057,4.5
926,NA,800,NA,10,9,1998,10,13,23,1998-10-13,D,42,D,D,49.39,50.61,47.77,48.95,7.390000000000001,4.5
927,NA,1017,NA,7,31,1998,8,4,93,1998-08-04,D,42,D,D,49.39,50.61,47.77,48.95,7.390000000000001,4.5
928,NA,655,NA,6,24,1998,6,28,130,1998-06-28,D,40,D,D,49.39,50.61,47.77,48.95,9.39,4.5
929,NA,786,NA,9,11,1998,9,12,52.5,1998-09-12,D,52,D,D,49.39,50.61,47.77,48.95,-2.6099999999999994,4.5
930,NA,1000,NA,9,2,1998,9,9,58.5,1998-09-09,D,38,D,D,49.39,50.61,47.77,48.95,11.39,4.5
931,NA,650,NA,10,8,1998,10,9,25.5,1998-10-09,D,45,D,D,49.39,50.61,47.77,48.95,4.390000000000001,4.5
932,NA,1000,NA,7,15,1998,7,19,109,1998-07-19,D,37,D,D,49.39,50.61,47.77,48.95,12.39,4.5
933,NA,673,NA,10,28,1998,10,29,5.5,1998-10-29,D,38,D,D,49.39,50.61,47.77,48.95,11.39,4.5
934,NA,1000,NA,1,15,1998,1,19,290,1998-01-19,D,41,D,D,49.39,50.61,47.77,48.95,8.39,4.5
935,NA,756.2497559,NA,9,21,1998,9,27,40,1998-09-27,D,39,D,D,49.39,50.61,47.77,48.95,10.39,4.5
936,NA,852,NA,9,14,1998,9,15,49.5,1998-09-15,D,47,D,D,49.39,50.61,47.77,48.95,2.3900000000000006,4.5
937,NA,647.0787354,NA,10,12,1998,10,13,21.5,1998-10-13,D,48,D,D,49.39,50.61,47.77,48.95,1.3900000000000006,4.5
938,NA,1000,NA,6,18,1998,6,21,136.5,1998-06-21,D,36,D,D,49.39,50.61,47.77,48.95,13.39,4.5
939,NA,251,NA,10,8,1998,10,9,25.5,1998-10-09,D,41,D,D,49.39,50.61,47.77,48.95,8.39,4.5
940,NA,519,NA,10,23,1998,10,25,10,1998-10-25,D,47,D,D,49.39,50.61,47.77,48.95,2.3900000000000006,4.5
941,NA,842,NA,9,23,1998,9,24,40.5,1998-09-24,D,48,D,D,49.39,50.61,47.77,48.95,1.3900000000000006,4.5
942,NA,1025,NA,10,24,1998,10,27,8.5,1998-10-27,D,43,D,D,49.39,50.61,47.77,48.95,6.390000000000001,4.5
943,NA,808,NA,6,30,1998,7,1,125.5,1998-07-01,D,47,D,D,49.39,50.61,47.77,48.95,2.3900000000000006,4.5
944,NA,900,NA,9,9,1998,9,10,54.5,1998-09-10,D,38,D,D,49.39,50.61,47.77,48.95,11.39,4.5
945,NA,824,NA,9,11,1998,9,14,51.5,1998-09-14,D,40,D,D,49.39,50.61,47.77,48.95,9.39,4.5
946,NA,1240.070068,NA,1,15,1998,1,19,290,1998-01-19,D,47,D,D,49.39,50.61,47.77,48.95,2.3900000000000006,4.5
947,NA,1000,NA,10,1,1998,10,4,31.5,1998-10-04,D,39,D,D,49.39,50.61,47.77,48.95,10.39,4.5
948,NA,899,NA,7,29,1998,7,30,96.5,1998-07-30,D,37,D,D,49.39,50.61,47.77,48.95,12.39,4.5
949,NA,735,NA,10,3,1998,10,4,30.5,1998-10-04,D,47,D,D,49.39,50.61,47.77,48.95,2.3900000000000006,4.5
950,NA,679,NA,5,27,1998,6,3,156.5,1998-06-03,D,41,D,D,49.39,50.61,47.77,48.95,8.39,4.5
951,NA,715,NA,9,25,1998,9,28,37.5,1998-09-28,D,46,D,D,49.39,50.61,47.77,48.95,3.3900000000000006,4.5
952,NA,865,NA,10,23,1998,10,25,10,1998-10-25,D,47,D,D,49.39,50.61,47.77,48.95,2.3900000000000006,4.5
953,NA,1371.967407,NA,9,11,1998,9,13,52,1998-09-13,D,49,D,D,49.39,50.61,47.77,48.95,0.39000000000000057,4.5
954,NA,548,NA,10,15,1998,10,18,17.5,1998-10-18,D,48,D,D,49.39,50.61,47.77,48.95,1.3900000000000006,4.5
955,NA,683.9838257,NA,10,7,1998,10,8,26.5,1998-10-08,D,38,D,D,49.39,50.61,47.77,48.95,11.39,4.5
956,NA,899,NA,9,23,1998,9,24,40.5,1998-09-24,D,50,D,D,49.39,50.61,47.77,48.95,-0.6099999999999994,4.5
958,NA,713.6012573,NA,10,21,1998,10,25,11,1998-10-25,D,44,D,D,49.39,50.61,47.77,48.95,5.390000000000001,4.5
959,NA,682.2389526,NA,9,10,1998,9,11,53.5,1998-09-11,D,45,D,D,49.39,50.61,47.77,48.95,4.390000000000001,4.5
960,NA,834,NA,10,9,1998,10,12,23.5,1998-10-12,D,46,D,D,49.39,50.61,47.77,48.95,3.3900000000000006,4.5
961,NA,1505.898315,NA,8,18,1998,8,19,76.5,1998-08-19,D,46,D,D,49.39,50.61,47.77,48.95,3.3900000000000006,4.5
962,NA,1055,NA,5,18,1998,5,19,168.5,1998-05-19,D,44,D,D,49.39,50.61,47.77,48.95,5.390000000000001,4.5
1155,NBC News/Wall Street Journal Poll,945.5666504,NA,9,3,2002,9,5,62,2002-09-05,D,42,R,R,47.45,52.55,45.96,50.9,5.450000000000003,5.8
1156,Ipsos-Reid/Cook Political Report,791.5999756,NA,10,28,2002,10,31,6.5,2002-10-31,D,45,R,R,47.45,52.55,45.96,50.9,2.450000000000003,5.8
1157,CNN/Time,1074.06665,NA,10,21,2002,10,22,14.5,2002-10-22,D,50,R,R,47.45,52.55,45.96,50.9,-2.549999999999997,5.8
1158,Zogby America,1001,NA,5,14,2002,5,16,174,2002-05-16,D,45,R,R,47.45,52.55,45.96,50.9,2.450000000000003,5.8
1159,Marist Poll,1314.599976,NA,5,14,2002,5,16,174,2002-05-16,D,40,R,R,47.45,52.55,45.96,50.9,7.450000000000003,5.8
1160,Ipsos-Reid/Cook Political Report,791.5999756,NA,1,4,2002,1,6,304,2002-01-06,D,43,R,R,47.45,52.55,45.96,50.9,4.450000000000003,5.8
1161,Princeton Survey Research Associates,1158.033325,NA,4,14,2002,4,16,204,2002-04-16,D,38,R,R,47.45,52.55,45.96,50.9,9.450000000000003,5.8
1162,NBC News/Wall Street Journal Poll,842.5,NA,1,14,2002,1,16,294,2002-01-16,D,39,R,R,47.45,52.55,45.96,50.9,8.450000000000003,5.8
1163,Public Opinion Strategies,1006,NA,1,29,2002,1,31,279,2002-01-31,D,32,R,R,47.45,52.55,45.96,50.9,15.450000000000003,5.8
1164,Investor's Bussiness Daily/Christain Science Monitor,912,NA,10,7,2002,10,13,26,2002-10-13,D,47,R,R,47.45,52.55,45.96,50.9,0.45000000000000284,5.8
1165,Zogby America,1001,NA,10,22,2002,10,24,13,2002-10-24,D,47,R,R,47.45,52.55,45.96,50.9,0.45000000000000284,5.8
1166,Pew Research,488.3999939,NA,5,28,2002,6,2,158.5,2002-06-02,D,42,R,R,47.45,52.55,45.96,50.9,5.450000000000003,5.8
1167,Pew Research,488.3999939,NA,3,19,2002,3,25,228,2002-03-25,D,40,R,R,47.45,52.55,45.96,50.9,7.450000000000003,5.8
1168,Ipsos-Reid/Cook Political Report,791.5999756,NA,9,22,2002,9,23,43.5,2002-09-23,D,40,R,R,47.45,52.55,45.96,50.9,7.450000000000003,5.8
1169,"Greenberg, Quinlan, Rosner, Research (D)",1035,NA,10,30,2002,11,2,4.5,2002-11-02,D,46,R,R,47.45,52.55,45.96,50.9,1.4500000000000028,5.8
1170,ABC,1417.666626,NA,9,3,2002,9,6,61.5,2002-09-06,D,41,R,R,47.45,52.55,45.96,50.9,6.450000000000003,5.8
1171,NBC News/Wall Street Journal Poll,945.5666504,NA,7,14,2002,7,16,113,2002-07-16,D,41,R,R,47.45,52.55,45.96,50.9,6.450000000000003,5.8
1172,Ipsos-Reid/Cook Political Report,505,NA,10,25,2002,10,31,8,2002-10-31,D,45,R,R,47.45,52.55,45.96,50.9,2.450000000000003,5.8
1173,"Greenberg, Quinlan, Rosner, Research (D)",1144.93335,NA,9,2,2002,9,2,64,2002-09-02,D,46,R,R,47.45,52.55,45.96,50.9,1.4500000000000028,5.8
1174,CBS News Poll,1417.666626,NA,10,10,2002,10,11,25.5,2002-10-11,D,46,R,R,47.45,52.55,45.96,50.9,1.4500000000000028,5.8
1175,CNN/Time,1061,NA,10,31,2002,11,3,3.5,2002-11-03,D,49,R,R,47.45,52.55,45.96,50.9,-1.5499999999999972,5.8
1176,The Los Angeles Times,1163,NA,8,22,2002,8,25,73.5,2002-08-25,D,47,R,R,47.45,52.55,45.96,50.9,0.45000000000000284,5.8
1177,CNN/USA Today/Gallup Poll,955.9666748,NA,3,14,2002,3,16,235,2002-03-16,D,46,R,R,47.45,52.55,45.96,50.9,1.4500000000000028,5.8
1178,Princeton Survey Research Associates,1054.966675,NA,9,20,2002,9,22,45,2002-09-22,D,44,R,R,47.45,52.55,45.96,50.9,3.450000000000003,5.8
1179,ABC,1028,NA,9,23,2002,9,26,41.5,2002-09-26,D,49,R,R,47.45,52.55,45.96,50.9,-1.5499999999999972,5.8
1181,CBS News/New York Times,927.666687,NA,9,30,2002,10,2,35,2002-10-02,D,46,R,R,47.45,52.55,45.96,50.9,1.4500000000000028,5.8
1182,Zogby America,1001,NA,9,30,2002,10,2,35,2002-10-02,D,46,R,R,47.45,52.55,45.96,50.9,1.4500000000000028,5.8
1183,"Greenberg, Quinlan, Rosner, Research (D)",304,NA,10,3,2002,10,5,32,2002-10-05,D,46,R,R,47.45,52.55,45.96,50.9,1.4500000000000028,5.8
1184,CNN/USA Today/Gallup Poll,955.9666748,NA,8,19,2002,8,21,77,2002-08-21,D,50,R,R,47.45,52.55,45.96,50.9,-2.549999999999997,5.8
1185,Princeton Survey Research Associates,1054.966675,NA,9,3,2002,9,5,62,2002-09-05,D,46,R,R,47.45,52.55,45.96,50.9,1.4500000000000028,5.8
1186,CNN/USA Today/Gallup Poll,955.9666748,NA,1,11,2002,1,14,296.5,2002-01-14,D,43,R,R,47.45,52.55,45.96,50.9,4.450000000000003,5.8
1187,Public Opinion Strategies,1292.599976,NA,9,3,2002,9,5,62,2002-09-05,D,42,R,R,47.45,52.55,45.96,50.9,5.450000000000003,5.8
1188,Garin-Hart-Yang Research Group for the DNC,1004,NA,7,24,2002,7,27,102.5,2002-07-27,D,36,R,R,47.45,52.55,45.96,50.9,11.450000000000003,5.8
1189,CNN/USA Today/Gallup Poll,1059.033325,NA,9,3,2002,9,5,62,2002-09-05,D,35,R,R,47.45,52.55,45.96,50.9,12.450000000000003,5.8
1190,Public Opinion Strategies,1006,NA,10,26,2002,10,29,8.5,2002-10-29,D,51,R,R,47.45,52.55,45.96,50.9,-3.549999999999997,5.8
1191,CNN/Time,787.4666748,NA,10,3,2002,10,6,31.5,2002-10-06,D,48,R,R,47.45,52.55,45.96,50.9,-0.5499999999999972,5.8
1192,Ipsos-Reid/Cook Political Report,791.5999756,NA,6,14,2002,6,16,143,2002-06-16,D,37,R,R,47.45,52.55,45.96,50.9,10.450000000000003,5.8
1193,CNN/USA Today/Gallup Poll,955.9666748,NA,5,28,2002,5,29,160.5,2002-05-29,D,45,R,R,47.45,52.55,45.96,50.9,2.450000000000003,5.8
1194,Pew Research,775,NA,10,15,2002,10,17,20,2002-10-17,D,44,R,R,47.45,52.55,45.96,50.9,3.450000000000003,5.8
1195,Associated Press Poll,581,NA,10,24,2002,10,25,11.5,2002-10-25,D,43,R,R,47.45,52.55,45.96,50.9,4.450000000000003,5.8
1196,ABC,1314.599976,NA,7,14,2002,7,16,113,2002-07-16,D,47,R,R,47.45,52.55,45.96,50.9,0.45000000000000284,5.8
1197,Fox News/Opinion Dynamics,532.4000244,NA,3,4,2002,3,7,244.5,2002-03-07,D,36,R,R,47.45,52.55,45.96,50.9,11.450000000000003,5.8
1198,CNN/USA Today/Gallup Poll,955.9666748,NA,10,3,2002,10,6,31.5,2002-10-06,D,48,R,R,47.45,52.55,45.96,50.9,-0.5499999999999972,5.8
1199,Ipsos-Reid/Cook Political Report,791.5999756,NA,1,18,2002,2,3,283,2002-02-03,D,39,R,R,47.45,52.55,45.96,50.9,8.450000000000003,5.8
1200,CNN/Time,787.4666748,NA,9,20,2002,9,22,45,2002-09-22,D,50,R,R,47.45,52.55,45.96,50.9,-2.549999999999997,5.8
1201,CNN/Time,1074.06665,NA,2,14,2002,2,16,263,2002-02-16,D,32,R,R,47.45,52.55,45.96,50.9,15.450000000000003,5.8
1202,Zogby America,1287.599976,NA,1,14,2002,1,16,294,2002-01-16,D,47,R,R,47.45,52.55,45.96,50.9,0.45000000000000284,5.8
1203,Ipsos-Reid/Cook Political Report,791.5999756,NA,9,2,2002,9,5,62.5,2002-09-05,D,41,R,R,47.45,52.55,45.96,50.9,6.450000000000003,5.8
1204,Ipsos-Reid/Cook Political Report,791.5999756,NA,6,7,2002,6,9,150,2002-06-09,D,39,R,R,47.45,52.55,45.96,50.9,8.450000000000003,5.8
1205,Ipsos-Reid/Cook Political Report,791.5999756,NA,3,14,2002,3,17,234.5,2002-03-17,D,44,R,R,47.45,52.55,45.96,50.9,3.450000000000003,5.8
1206,"Greenberg, Quinlan, Rosner, Research (D)",1000,NA,3,13,2002,3,19,234,2002-03-19,D,38,R,R,47.45,52.55,45.96,50.9,9.450000000000003,5.8
1207,Ipsos-Reid/Cook Political Report,791.5999756,NA,6,21,2002,6,23,136,2002-06-23,D,39,R,R,47.45,52.55,45.96,50.9,8.450000000000003,5.8
1208,Ipsos-Reid/Cook Political Report,505,NA,10,3,2002,10,5,32,2002-10-05,D,46,R,R,47.45,52.55,45.96,50.9,1.4500000000000028,5.8
1209,NBC News/Wall Street Journal Poll,945.5666504,NA,6,14,2002,6,16,143,2002-06-16,D,41,R,R,47.45,52.55,45.96,50.9,6.450000000000003,5.8
1210,Ipsos-Reid/Cook Political Report,791.5999756,NA,9,3,2002,9,5,62,2002-09-05,D,46,R,R,47.45,52.55,45.96,50.9,1.4500000000000028,5.8
1211,"Public Opinion Strategies and Greenberg, Quinlan, Rosner, Research",882,NA,6,14,2002,6,16,143,2002-06-16,D,49,R,R,47.45,52.55,45.96,50.9,-1.5499999999999972,5.8
1212,Fox News/Opinion Dynamics,532.4000244,NA,3,19,2002,3,25,228,2002-03-25,D,39,R,R,47.45,52.55,45.96,50.9,8.450000000000003,5.8
1213,Pew Research,488.3999939,NA,1,14,2002,1,16,294,2002-01-16,D,38,R,R,47.45,52.55,45.96,50.9,9.450000000000003,5.8
1214,Pew Research,488.3999939,NA,2,27,2002,2,28,250.5,2002-02-28,D,37,R,R,47.45,52.55,45.96,50.9,10.450000000000003,5.8
1215,"Greenberg, Quinlan, Rosner, Research (D)",1158,NA,10,2,2002,10,2,34,2002-10-02,D,46,R,R,47.45,52.55,45.96,50.9,1.4500000000000028,5.8
1216,ABC,845,NA,10,31,2002,11,3,3.5,2002-11-03,D,48,R,R,47.45,52.55,45.96,50.9,-0.5499999999999972,5.8
1218,The Los Angeles Times,1163,NA,1,14,2002,2,16,278.5,2002-02-16,D,47,R,R,47.45,52.55,45.96,50.9,0.45000000000000284,5.8
1219,CNN/USA Today/Gallup Poll,1059.033325,NA,7,5,2002,7,8,121.5,2002-07-08,D,39,R,R,47.45,52.55,45.96,50.9,8.450000000000003,5.8
1220,Fox News/Opinion Dynamics,532.4000244,NA,4,28,2002,4,30,190,2002-04-30,D,38,R,R,47.45,52.55,45.96,50.9,9.450000000000003,5.8
1221,Garin-Hart-Yang Research Group,1205,NA,1,2,2002,1,8,304,2002-01-08,D,31,R,R,47.45,52.55,45.96,50.9,16.450000000000003,5.8
1222,ABC,1417.666626,NA,9,23,2002,9,26,41.5,2002-09-26,D,46,R,R,47.45,52.55,45.96,50.9,1.4500000000000028,5.8
1223,CNN/USA Today/Gallup Poll,1012,NA,10,18,2002,10,21,16.5,2002-10-21,D,39,R,R,47.45,52.55,45.96,50.9,8.450000000000003,5.8
1224,"Greenberg, Quinlan, Rosner, Research (D)",669,NA,10,27,2002,10,31,7,2002-10-31,D,40,R,R,47.45,52.55,45.96,50.9,7.450000000000003,5.8
1225,Princeton Survey Research Associates,1054.966675,NA,9,16,2002,9,19,48.5,2002-09-19,D,44,R,R,47.45,52.55,45.96,50.9,3.450000000000003,5.8
1226,Ipsos-Reid/Cook Political Report,791.5999756,NA,7,13,2002,7,16,113.5,2002-07-16,D,42,R,R,47.45,52.55,45.96,50.9,5.450000000000003,5.8
1227,Ipsos-Reid/Cook Political Report,791.5999756,NA,7,8,2002,7,9,119.5,2002-07-09,D,41,R,R,47.45,52.55,45.96,50.9,6.450000000000003,5.8
1228,Democracy Corps Poll,762,NA,7,23,2002,7,25,104,2002-07-25,D,42,R,R,47.45,52.55,45.96,50.9,5.450000000000003,5.8
1229,Democracy Corps Poll,762,NA,6,18,2002,6,24,137,2002-06-24,D,45,R,R,47.45,52.55,45.96,50.9,2.450000000000003,5.8
1230,Ipsos-Reid/Cook Political Report,791.5999756,NA,2,1,2002,2,17,269,2002-02-17,D,41,R,R,47.45,52.55,45.96,50.9,6.450000000000003,5.8
1231,NBC News/Wall Street Journal Poll,842.5,NA,2,14,2002,2,16,263,2002-02-16,D,40,R,R,47.45,52.55,45.96,50.9,7.450000000000003,5.8
1232,"Public Opinion Strategies and Greenberg, Quinlan, Rosner, Research",882,NA,10,23,2002,10,24,12.5,2002-10-24,D,47,R,R,47.45,52.55,45.96,50.9,0.45000000000000284,5.8
1233,"Public Opinion Strategies and Greenberg, Quinlan, Rosner, Research",882,NA,7,14,2002,7,16,113,2002-07-16,D,46,R,R,47.45,52.55,45.96,50.9,1.4500000000000028,5.8
1234,Investor's Bussiness Daily/Christain Science Monitor,1301.666626,NA,8,14,2002,8,16,82,2002-08-16,D,43,R,R,47.45,52.55,45.96,50.9,4.450000000000003,5.8
1235,NBC News/Wall Street Journal Poll,945.5666504,NA,1,14,2002,1,16,294,2002-01-16,D,40,R,R,47.45,52.55,45.96,50.9,7.450000000000003,5.8
1236,Public Opinion Strategies,1006,NA,5,28,2002,5,30,160,2002-05-30,D,34,R,R,47.45,52.55,45.96,50.9,13.450000000000003,5.8
1237,CNN/USA Today/Gallup Poll,955.9666748,NA,1,25,2002,1,27,283,2002-01-27,D,44,R,R,47.45,52.55,45.96,50.9,3.450000000000003,5.8
1238,Ipsos-Reid/Cook Political Report,791.5999756,NA,7,11,2002,7,14,115.5,2002-07-14,D,44,R,R,47.45,52.55,45.96,50.9,3.450000000000003,5.8
1239,"Public Opinion Strategies and Greenberg, Quinlan, Rosner, Research",595.4000244,NA,1,2,2002,1,4,306,2002-01-04,D,31,R,R,47.45,52.55,45.96,50.9,16.450000000000003,5.8
1240,Zogby America,1001,NA,9,17,2002,9,22,46.5,2002-09-22,D,45,R,R,47.45,52.55,45.96,50.9,2.450000000000003,5.8
1241,Public Opinion Strategies,1006,NA,3,25,2002,3,27,224,2002-03-27,D,31,R,R,47.45,52.55,45.96,50.9,16.450000000000003,5.8
1242,ABC,1417.666626,NA,7,14,2002,7,16,113,2002-07-16,D,47,R,R,47.45,52.55,45.96,50.9,0.45000000000000284,5.8
1243,Zogby America,1001,NA,7,14,2002,7,16,113,2002-07-16,D,44,R,R,47.45,52.55,45.96,50.9,3.450000000000003,5.8
1244,Fox News/Opinion Dynamics,869,NA,10,2,2002,10,2,34,2002-10-02,D,43,R,R,47.45,52.55,45.96,50.9,4.450000000000003,5.8
1245,Zogby America,1001,NA,4,14,2002,4,16,204,2002-04-16,D,46,R,R,47.45,52.55,45.96,50.9,1.4500000000000028,5.8
1246,Fox News/Opinion Dynamics,769,NA,10,2,2002,10,2,34,2002-10-02,D,39,R,R,47.45,52.55,45.96,50.9,8.450000000000003,5.8
1247,CNN/USA Today/Gallup Poll,955.9666748,NA,6,21,2002,6,23,136,2002-06-23,D,50,R,R,47.45,52.55,45.96,50.9,-2.549999999999997,5.8
1248,Ipsos-Reid/Cook Political Report,505,NA,10,28,2002,10,31,6.5,2002-10-31,D,45,R,R,47.45,52.55,45.96,50.9,2.450000000000003,5.8
1249,CBS News/New York Times,927.666687,NA,8,28,2002,8,29,68.5,2002-08-29,D,45,R,R,47.45,52.55,45.96,50.9,2.450000000000003,5.8
1250,Ipsos-Reid/Cook Political Report,791.5999756,NA,8,16,2002,8,18,80,2002-08-18,D,45,R,R,47.45,52.55,45.96,50.9,2.450000000000003,5.8
1251,CNN/USA Today/Gallup Poll,955.9666748,NA,2,14,2002,2,16,263,2002-02-16,D,43,R,R,47.45,52.55,45.96,50.9,4.450000000000003,5.8
1252,CBS News/New York Times,927.666687,NA,9,17,2002,9,22,46.5,2002-09-22,D,45,R,R,47.45,52.55,45.96,50.9,2.450000000000003,5.8
1253,CBS News/New York Times,1001,NA,10,22,2002,10,24,13,2002-10-24,D,47,R,R,47.45,52.55,45.96,50.9,0.45000000000000284,5.8
1255,Pew Research,488.3999939,NA,5,7,2002,5,9,181,2002-05-09,D,41,R,R,47.45,52.55,45.96,50.9,6.450000000000003,5.8
1256,Democracy Corps Poll,762,NA,10,14,2002,10,17,20.5,2002-10-17,D,45,R,R,47.45,52.55,45.96,50.9,2.450000000000003,5.8
1257,Ipsos-Reid/Cook Political Report,791.5999756,NA,9,16,2002,9,19,48.5,2002-09-19,D,44,R,R,47.45,52.55,45.96,50.9,3.450000000000003,5.8
1258,Ipsos-Reid/Cook Political Report,791.5999756,NA,9,20,2002,9,22,45,2002-09-22,D,44,R,R,47.45,52.55,45.96,50.9,3.450000000000003,5.8
1259,Ipsos-Reid/Cook Political Report,791.5999756,NA,10,25,2002,10,27,10,2002-10-27,D,46,R,R,47.45,52.55,45.96,50.9,1.4500000000000028,5.8
1260,Tarrance Group/Lake Snell Perry & Associates,1000,NA,6,9,2002,6,11,148,2002-06-11,D,44,R,R,47.45,52.55,45.96,50.9,3.450000000000003,5.8
1261,CNN/USA Today/Gallup Poll,1059.033325,NA,4,14,2002,4,16,204,2002-04-16,D,32,R,R,47.45,52.55,45.96,50.9,15.450000000000003,5.8
1262,Public Opinion Strategies,1395.666626,NA,10,2,2002,10,2,34,2002-10-02,D,47,R,R,47.45,52.55,45.96,50.9,0.45000000000000284,5.8
1263,CNN/USA Today/Gallup Poll,955.9666748,NA,4,29,2002,5,1,189,2002-05-01,D,48,R,R,47.45,52.55,45.96,50.9,-0.5499999999999972,5.8
1264,CBS News/New York Times,882,NA,10,2,2002,10,2,34,2002-10-02,D,47,R,R,47.45,52.55,45.96,50.9,0.45000000000000284,5.8
1265,Ipsos-Reid/Cook Political Report,505,NA,11,1,2002,11,3,3,2002-11-03,D,44,R,R,47.45,52.55,45.96,50.9,3.450000000000003,5.8
1266,Ipsos-Reid/Cook Political Report,791.5999756,NA,8,2,2002,8,4,94,2002-08-04,D,46,R,R,47.45,52.55,45.96,50.9,1.4500000000000028,5.8
1267,CNN/USA Today/Gallup Poll,1003,NA,7,29,2002,7,31,98,2002-07-31,D,39,R,R,47.45,52.55,45.96,50.9,8.450000000000003,5.8
1268,Ipsos-Reid/Cook Political Report,791.5999756,NA,4,19,2002,4,21,199,2002-04-21,D,41,R,R,47.45,52.55,45.96,50.9,6.450000000000003,5.8
1269,CNN/USA Today/Gallup Poll,1059.033325,NA,1,14,2002,1,16,294,2002-01-16,D,33,R,R,47.45,52.55,45.96,50.9,14.450000000000003,5.8
1270,"Greenberg, Quinlan, Rosner, Research (D)",1041.866699,NA,6,14,2002,6,16,143,2002-06-16,D,46,R,R,47.45,52.55,45.96,50.9,1.4500000000000028,5.8
1271,Tarrance Group/Lake Snell Perry & Associates,1000,NA,1,14,2002,1,16,294,2002-01-16,D,39,R,R,47.45,52.55,45.96,50.9,8.450000000000003,5.8
1272,NBC News/Wall Street Journal Poll,555.9000244,NA,6,30,2002,7,1,127.5,2002-07-01,D,42,R,R,47.45,52.55,45.96,50.9,5.450000000000003,5.8
1273,American Viewpoint,800,NA,3,6,2002,3,11,241.5,2002-03-11,D,34,R,R,47.45,52.55,45.96,50.9,13.450000000000003,5.8
1274,NBC News/Wall Street Journal Poll,1012,NA,10,18,2002,10,21,16.5,2002-10-21,D,42,R,R,47.45,52.55,45.96,50.9,5.450000000000003,5.8
1275,NBC News/Wall Street Journal Poll,842.5,NA,8,26,2002,9,1,68,2002-09-01,D,38,R,R,47.45,52.55,45.96,50.9,9.450000000000003,5.8
1276,Princeton Survey Research Associates,1201,NA,6,11,2002,6,16,144.5,2002-06-16,D,36,R,R,47.45,52.55,45.96,50.9,11.450000000000003,5.8
1277,Public Opinion Strategies,1006,NA,4,19,2002,4,22,198.5,2002-04-22,D,36,R,R,47.45,52.55,45.96,50.9,11.450000000000003,5.8
1278,CNN/USA Today/Gallup Poll,955.9666748,NA,9,20,2002,9,22,45,2002-09-22,D,48,R,R,47.45,52.55,45.96,50.9,-0.5499999999999972,5.8
1279,Princeton Survey Research Associates,1054.966675,NA,10,1,2002,10,3,34,2002-10-03,D,44,R,R,47.45,52.55,45.96,50.9,3.450000000000003,5.8
1280,CBS News/New York Times,927.666687,NA,9,12,2002,9,13,53.5,2002-09-13,D,41,R,R,47.45,52.55,45.96,50.9,6.450000000000003,5.8
1281,CNN/USA Today/Gallup Poll,1059.033325,NA,6,14,2002,6,16,143,2002-06-16,D,35,R,R,47.45,52.55,45.96,50.9,12.450000000000003,5.8
1282,Ipsos-Reid/Cook Political Report,791.5999756,NA,5,3,2002,5,6,184.5,2002-05-06,D,40,R,R,47.45,52.55,45.96,50.9,7.450000000000003,5.8
1283,"Greenberg, Quinlan, Rosner, Research (D)",1041.866699,NA,2,14,2002,2,16,263,2002-02-16,D,46,R,R,47.45,52.55,45.96,50.9,1.4500000000000028,5.8
1284,"Greenberg, Quinlan, Rosner, Research (D)",1041.866699,NA,9,22,2002,9,23,43.5,2002-09-23,D,40,R,R,47.45,52.55,45.96,50.9,7.450000000000003,5.8
1285,"Greenberg, Quinlan, Rosner, Research (D)",1041.866699,NA,9,14,2002,9,16,51,2002-09-16,D,46,R,R,47.45,52.55,45.96,50.9,1.4500000000000028,5.8
1286,Ipsos-Reid/Cook Political Report,791.5999756,NA,7,18,2002,7,21,108.5,2002-07-21,D,40,R,R,47.45,52.55,45.96,50.9,7.450000000000003,5.8
1287,Ipsos-Reid/Cook Political Report,791.5999756,NA,10,15,2002,10,17,20,2002-10-17,D,44,R,R,47.45,52.55,45.96,50.9,3.450000000000003,5.8
1288,Princeton Survey Research Associates,1158.033325,NA,1,14,2002,1,16,294,2002-01-16,D,39,R,R,47.45,52.55,45.96,50.9,8.450000000000003,5.8
1289,CBS News/New York Times,927.666687,NA,9,2,2002,9,2,64,2002-09-02,D,45,R,R,47.45,52.55,45.96,50.9,2.450000000000003,5.8
