pollster,sample_size,type,dem,rep,bmonth,bday,year,emonth,eday,days_until_election
Gallup Poll,1541,,58,27,5,5,1978,5,8,184.5
NBC/AP,1600,,47,33,10,16,1978,10,17,21.5
,1500,,51,37,9,8,1978,9,12,58
,1506,,45,26,10,16,1978,10,22,19
Gallup Poll,1534,,54,32,10,13,1978,10,16,23.5
Gallup Poll,1555,,53,27,7,7,1978,7,10,121.5
Gallup Poll,1560,,49,23,3,3,1978,3,6,247.5
Gallup Poll,1536,,51,24,1,6,1978,1,9,303.5
Gallup Poll,1546,,46,27,4,17,1978,4,17,204
Gallup Poll,1539,,56,29,4,28,1978,5,1,191.5
Gallup Poll,1503,,47,24,6,2,1978,6,5,156.5
Gallup Poll,1508,,49,27,5,19,1978,5,22,170.5
Gallup Poll,2844,,55,45,10,14,1978,10,16,23
Harris Survey,1883,,49,29,3,24,1978,4,21,214
Gallup Poll,1543,,61,38,10,5,1978,10,8,31.5
Gallup Poll,1544,,46,26,3,10,1978,3,13,240.5
Yankelovich,1034,,37,21,10,5,1978,10,8,31.5
Gallup Poll,1555,,47,25,7,21,1978,7,24,107.5
Gallup Poll,1598,,57,31,8,18,1978,8,21,79.5
ICR,1506,,50,34,10,21,1979,11,15,367.5
ABC News/Harris Survey,2552,,50,38,9,3,1980,9,22,52.5
Gallup Poll,1538,,53,37,8,1,1980,8,4,93.5
NBC/AP,1395,,39,39,8,5,1980,8,7,90
Time/Yankelovich,1644,,31,21,8,26,1980,8,28,69
Gallup Poll,1572,,50,30,2,29,1980,3,3,247.5
ABC News/Harris Survey,1498,,50,41,3,3,1980,3,8,243.5
Gallup Poll,1600,,57,32,8,15,1980,8,18,79.5
ABC News/Harris Survey,3931,,48,42,10,22,1980,10,27,10.5
NBC/AP,1508,,42,39,9,22,1980,9,24,42
ABC News/Harris Survey,1458,,43,47,7,18,1980,7,21,107.5
CBS/NYT,1769,,43,37,8,2,1980,8,7,91.5
Gallup Poll,1602,,52,39,9,12,1980,9,15,51.5
Gallup Poll,1583,,50,34,6,13,1980,6,16,142.5
Gallup Poll,1593,,51,36,10,10,1980,10,13,23.5
Gallup Poll,3492,,52,36,10,30,1980,11,1,4
Time/Yankelovich,1590,,33,26,10,14,1980,10,16,20
CBS/NYT,2135,,44,37,10,16,1980,10,20,17
ABC News/Harris Survey,1195,,44,45,8,1,1980,8,3,94
,1508,,56,44,10,2,1981,10,5,394.5
,1540,,53,35,9,18,1981,9,21,408.5
,1512,,53,40,11,17,1981,11,22,347.5
,1599,,35,43,5,18,1981,5,19,532.5
,1526,,49,42,6,19,1981,6,22,499.5
,1444.310059,,55,38,10,30,1981,11,2,366.5
,1599,,36,44,7,13,1981,7,14,476.5
,1511,,51,36,1,22,1982,1,25,282.5
,1547,,55,34,2,5,1982,2,8,268.5
,1603,,40,46,3,29,1982,3,30,217.5
,1531,,49,30,6,25,1982,6,28,128.5
,1258,,51,40,4,16,1982,4,22,197
,1018,,49,30,5,24,1982,5,28,160
,1589,,47,30,4,23,1982,4,26,191.5
,1514,,49,30,7,30,1982,8,2,93.5
,787,,53,41,1,12,1982,1,20,290
,794,,57,39,9,27,1982,9,30,34.5
,1509,,51,35,1,3,1982,1,7,301
,915,,51,41,8,26,1982,8,31,65.5
,1255,,49,41,6,18,1982,6,22,135
,1584,,49,31,4,30,1982,5,3,184.5
,1250,,50,40,7,9,1982,7,14,113.5
,1503,,51,39,3,14,1982,3,17,231.5
,1518,,50,30,7,23,1982,7,26,100.5
,1444.310059,,52,39,9,25,1982,9,29,36
,1261,,52,40,10,9,1982,10,13,22
,1543,,54,34,4,2,1982,4,5,212.5
,1504,,48,33,6,11,1982,6,14,142.5
,1010,,48,33,10,5,1982,10,7,27
,1080,,55,36,8,13,1982,8,16,79.5
,1555,,50,29,5,14,1982,5,17,170.5
,1256,,51,42,10,27,1982,10,28,5.5
,1599,,48,40,5,10,1982,5,11,175.5
,1519,,47,28,8,27,1982,8,30,65.5
,1128,,50,42,1,8,1982,1,11,296.5
,1250,,53,39,6,7,1983,6,11,516
,1043,,53,37,8,18,1983,8,22,444
,1590,,43,38,9,28,1984,10,1,37.5
,1014,,42,32,10,23,1984,10,25,13
,1531,,51,39,4,6,1984,4,9,212.5
,976,,50,36,1,12,1984,1,15,297.5
,1518,,44,39,9,21,1984,9,24,44.5
,1504,,53,45,9,7,1984,9,11,58
,1282,,39,38,10,12,1984,10,12,25
,1546,,49,32,6,15,1984,6,19,142
,2219,,41,42,10,30,1984,11,4,4.5
,4831,,39,36,10,4,1984,10,15,27.5
,846,,44,48,10,21,1984,10,21,16
,1260,,44,33,9,25,1984,9,26,41.5
,787,,57,38,1,30,1984,2,6,277.5
,1001,,41,30,10,10,1984,10,12,26
,1108,,49,41,5,10,1984,5,13,178.5
,1467,,52,44,10,22,1984,10,23,14.5
,1032,,39,39,9,5,1984,9,11,59
,2930,,49,45,11,2,1984,11,5,2.5
,1416,,53,44,11,1,1984,11,3,4
,1336,,49,43,9,21,1984,9,25,44
,1008,,49,44,10,22,1984,10,24,14
,1005,,57,40,7,5,1984,7,8,122.5
,1319,,43,37,10,25,1984,10,25,12
,1005,,49,43,9,6,1984,9,18,55
,1302,,52,41,10,22,1984,10,23,14.5
,1520,,44,40,10,26,1984,10,29,9.5
,1254,,53,40,4,1,1985,4,3,581
,941,,51,43,9,5,1985,9,8,423.5
,1540,,43,36,10,11,1985,10,14,387.5
,1507,,50,43,11,10,1985,11,13,357.5
,1506,,47,44,6,13,1985,6,22,504.5
,8645,,49,33,9,18,1986,9,28,42
,978,,42,40,9,13,1986,9,17,50
,1305,,49,40,2,22,1986,3,3,250.5
,1013,,40,37,5,20,1986,5,22,167
,1505,,51,45,4,24,1986,4,28,192
,1253,,51,42,10,13,1986,10,14,21.5
,1170,,53,40,7,11,1986,7,14,114.5
,1504,,50,47,2,6,1986,2,12,268
,1507,,47,43,9,2,1986,9,8,60
,1193,,50,43,1,10,1986,1,13,296.5
,1559,,44,35,10,24,1986,10,27,9.5
,1207,,48,43,10,29,1986,11,1,4.5
,1148,,47,47,3,20,1986,3,24,227
,6431,,50,46,10,23,1986,10,29,9
,1506,,52,46,5,15,1986,5,19,171
,1505,,49,44,6,19,1986,6,24,135.5
,591,,44,40,10,14,1986,10,14,21
,1552,,45,38,4,11,1986,4,14,205.5
,1004,,44,39,6,7,1986,6,16,145.5
,1505,,52,41,10,15,1987,10,19,388
,1500,,38,27,5,26,1987,6,1,529
,1721,,46,33,11,1,1988,11,5,5
,1506,,49,36,9,14,1988,9,19,52.5
,1505,,57,38,1,17,1988,1,23,293
,1356,,51,42,10,14,1988,10,17,23.5
,12000,,51,40,9,21,1988,10,10,38.5
,1002,,36,35,10,5,1988,10,7,33
,1475,,43,34,10,25,1988,10,26,13.5
,1204,,52,37,5,13,1988,5,15,178
,1286,,37,41,10,23,1988,10,26,14.5
,1512,,32,27,11,4,1989,11,7,365.5
,1509,,50,40,8,17,1989,8,21,444
,1503,,41,36,11,29,1989,12,14,334.5
,1510,,31,26,1,13,1990,1,16,295.5
,745,,50,43,11,2,1990,11,4,3
,1500,,51,39,7,19,1990,7,23,108
,3004,,48,42,5,1,1990,5,31,174
,1555,,36,33,7,6,1990,7,10,121
,1508,,37,32,9,15,1990,9,18,50.5
,500,,44,36,10,10,1990,10,10,27
,1007,,33,34,5,18,1990,5,22,170
,902,,53,42,10,26,1990,10,30,9
,1494,,31,25,2,26,1990,3,1,251.5
,1003,,34,25,3,10,1990,3,13,239.5
,1009,,47,45,10,11,1990,10,14,24.5
,1255,,49,44,7,13,1990,7,18,113.5
,507,,35,33,10,30,1990,10,31,6.5
,1019,,40,31,10,19,1990,10,21,17
,1200,,45,43,9,10,1990,9,12,56
,500,,43,35,10,3,1990,10,3,34
,1028,,48,42,11,5,1990,11,6,0.5
,799,,50,40,10,25,1990,10,28,10.5
,1526,,47,45,5,17,1990,5,21,171
,1000,,49,41,9,27,1990,9,30,38.5
,1011,,45,46,9,6,1990,9,18,55
,1015,,51,41,11,2,1990,11,4,3
,1227,,47,46,8,9,1990,8,12,87.5
,1006,,49,42,10,10,1990,10,14,25
,1004,,33,29,7,26,1991,7,29,464.5
,1205,,45,43,7,25,1991,7,28,465.5
,1836,,42,51,3,9,1991,3,11,604
,1500,,34,31,10,25,1991,10,29,373
,1004,,33,27,12,6,1991,12,9,331.5
,1439,,46,40,6,28,1991,6,30,493
,1761,,40,45,4,6,1991,4,9,575.5
,1709,,48,37,11,21,1991,11,24,346.5
,1206,,48,43,5,16,1991,5,19,535.5
,1008,,45,37,10,1,1991,10,3,398
,2028,,40,50,3,14,1991,3,19,597.5
,1215,,38,47,3,1,1991,3,4,611.5
,769,,35,39,4,3,1991,4,3,580
,1623,,47,39,9,21,1991,9,25,407
,1505,,30,30,3,15,1991,3,19,597
,1511,,47,42,5,30,1991,6,2,521.5
,1536,,49,41,10,16,1991,10,21,381.5
,1424,,36,33,6,3,1991,6,6,517.5
,1008,,46,29,10,20,1992,10,21,13.5
,1833,,50,39,10,2,1992,10,5,30.5
,1000,,44,38,1,29,1992,1,30,278.5
,1502,,36,29,5,15,1992,5,19,170
,982,,51,41,8,31,1992,9,2,63
,1001,,36,32,4,11,1992,4,14,204.5
,1105,,35,31,7,5,1992,7,7,120
,1008,,45,35,11,1,1992,11,1,2
,770,,50,39,7,24,1992,7,26,101
,1829,,50,40,10,24,1992,10,26,9
,732,,50,45,9,21,1992,9,23,42
,818,,43,29,8,10,1992,8,12,84
,1507,,45,34,10,27,1992,10,28,6.5
,761,,56,36,7,31,1992,8,2,94
,782,,51,34,10,28,1992,11,1,4
,1000,,38,30,2,28,1992,3,2,247.5
,1295,,52,39,9,28,1992,9,30,35
,840,,39,37,8,25,1992,8,27,69
,959,,42,36,10,20,1992,10,22,13
,1521,,52,37,3,27,1992,3,29,220
,1006,,47,44,4,20,1992,4,22,196
,901,,41,37,6,17,1992,6,21,137
,1506,,43,32,9,12,1992,9,15,50.5
,1444.310059,,41,36,9,22,1992,9,24,41
,1502,,38,29,1,17,1992,1,21,289
,1000,,44,40,3,28,1992,4,1,218
,1124,,50,42,9,11,1992,9,15,51
,986,,51,41,10,23,1992,10,25,10
,1003,,49,44,11,2,1993,11,4,370
,1000,,33,37,11,30,1993,11,30,343
,1014,,47,46,12,17,1993,12,19,325
,1508,,32,34,10,22,1993,10,26,380
,1612,,47,35,12,4,1993,12,7,337.5
,500,,42,41,3,3,1993,3,4,614.5
,1000,,36,37,NA,NA,1993,NA,NA,NA
,901,,41,37,6,17,1993,6,21,507
,1000,,52,37,1,4,1993,1,5,672.5
,1000,,39,41,6,15,1993,6,16,510.5
,1006,,32,29,9,10,1993,9,13,422.5
,1479,,46,44,12,2,1993,12,5,339.5
,1006,,32,31,7,24,1993,7,27,470.5
,1029,,50,34,3,25,1994,3,27,227
,1000,,46,48,NA,NA,1994,NA,NA,NA
,756,,50,42,6,11,1994,6,12,149.5
,1255,,39,33,9,24,1994,9,27,43.5
,1005,,35,31,7,23,1994,7,26,106.5
,1531,,44,39,6,23,1994,6,26,136.5
,1022,,46,48,9,6,1994,9,7,62.5
,1009,,34,29,1,15,1994,1,18,295.5
,1000,,39,39,8,16,1994,8,18,83
,1250,,42,41,9,18,1994,9,21,49.5
,1009,,45,48,9,20,1994,9,21,48.5
,1509,,36,41,10,14,1994,10,18,23
,600,,40,37,6,2,1994,6,2,159
,1006,,42,39,10,28,1994,11,1,9
,1006,,46,47,10,18,1994,10,19,20.5
,1015,,49,42,8,5,1994,8,7,94
,1998,,47,44,11,2,1994,11,6,4
,1000,,40,44,10,21,1994,10,23,17
,1515,,44,42,7,23,1994,7,26,106.5
,800,,35,41,10,11,1994,10,12,27.5
,1015,,46,47,2,26,1994,2,28,254
,1523,,44,39,5,12,1994,5,15,178.5
,1502,,35,30,6,10,1994,6,14,149
,1015,,47,45,10,27,1994,10,31,10
,1531,,49,39,2,24,1994,2,27,255.5
,1522,,50,44,9,8,1994,9,11,59.5
,802,,37,40,11,4,1994,11,5,3.5
,800,,37,42,9,21,1994,9,22,47.5
,1000,,44,44,4,20,1994,4,24,200
,1000,,41,35,10,25,1994,10,26,13.5
,1007,,49,45,10,22,1994,10,25,15.5
,1013,,46,48,10,7,1994,10,9,31
,1005,,38,37,10,7,1994,10,11,30
,1011,,44,46,8,15,1994,8,16,84.5
,1000,,42,44,NA,NA,1994,NA,NA,NA
,1000,,45,44,NA,NA,1994,NA,NA,NA
,1036,,50,41,3,25,1994,3,27,227
,1000,,42,34,8,17,1994,8,18,82.5
,1011,,51,45,10,20,1994,10,23,17.5
,800,,38,40,8,31,1994,9,1,68.5
,1031,,44,47,10,5,1994,10,9,32
,1001,,45,46,7,15,1994,7,17,115
,1000,,36,33,6,25,1994,6,28,134.5
,1410,,47,42,11,3,1994,11,6,3.5
,1016,,47,43,8,8,1994,8,9,91.5
,1000,,42,35,1,17,1994,1,18,294.5
,2000,,43,45,11,3,1994,11,5,4
,1444.310059,,44,42,10,27,1995,10,30,373.5
,1444.310059,,50,43,8,17,1995,8,20,444.5
,1027,,44,35,12,15,1995,12,17,325
,1364,,43,44,3,16,1995,4,3,591
,1530,,50,43,9,28,1995,10,1,402.5
,4787,,45,41,10,31,1995,11,6,368
,652,,49,44,11,14,1995,11,14,357
,2007,,36,34,12,1,1995,12,5,338
,1017,,44,45,8,28,1995,8,30,434
,839,,42,41,10,27,1995,10,30,373.5
,1000,,38,43,4,2,1995,4,4,582
,1005,,50,41,11,10,1995,11,13,359.5
,801,,46,46,7,7,1995,7,9,486
,931,,49,44,11,6,1995,11,8,364
,2000,,48,48,10,25,1995,10,30,374.5
,615,,50,39,11,17,1995,11,18,353.5
,1004,,47,38,12,8,1995,12,12,331
,1010,,48,42,7,18,1996,7,21,108.5
,1444.310059,,52,38,10,10,1996,10,11,25.5
,752,,48,45,11,2,1996,11,4,2
,1444.310059,,53,41,10,11,1996,10,12,24.5
,1000,,42,38,9,25,1996,9,30,38.5
,1444.310059,,46,39,5,8,1996,5,9,180.5
,1444.310059,,48,41,9,25,1996,9,29,39
,1020,,48,44,9,3,1996,9,4,62.5
,1444.310059,,51,43,3,8,1996,3,10,241
,1000,,41,39,10,1,1996,10,6,32.5
,1444.310059,,47,46,7,25,1996,7,28,101.5
,732,,50,36,10,17,1996,10,18,18.5
,1010,,50,45,4,7,1996,4,10,210.5
,1444.310059,,49,43,9,25,1996,9,29,39
,1024,,48,42,8,13,1996,8,14,83.5
,2421,,49,39,10,31,1996,11,2,4
,1000,,41,39,10,14,1996,10,17,20.5
,1000,,47,43,3,18,1996,3,20,231
,1000,,47,42,2,17,1996,2,20,260.5
,1011,,50,43,6,27,1996,6,30,129.5
,1000,,49,42,5,17,1996,5,20,170.5
,1444.310059,,50,43,10,25,1996,10,26,10.5
,1444.310059,,52,40,10,28,1996,10,29,7.5
,1227,,39,37,6,21,1996,6,27,134
,1444.310059,,50,42,5,20,1996,5,22,168
,1444.310059,,50,41,10,19,1996,10,20,16.5
,1444.310059,,47,46,1,11,1996,1,14,297.5
,1444.310059,,46,42,10,24,1996,10,27,10.5
,1444.310059,,49,45,9,11,1996,9,15,53
,1003,,51,41,8,26,1996,8,27,70.5
,1010,,48,41,7,10,1996,7,11,117.5
,960,,50,40,10,30,1996,11,2,4.5
,1444.310059,,50,43,4,13,1996,4,16,204.5
,1512,,49,46,3,14,1996,3,17,234.5
,804,,51,41,8,1,1996,8,3,95
,1000,,40,39,9,19,1996,9,24,44.5
,2370,,48,45,11,3,1996,11,4,1.5
,1444.310059,,49,41,10,23,1996,10,24,12.5
,1444.310059,,52,40,11,2,1996,11,3,2.5
,1444.310059,,51,43,9,5,1996,9,8,59.5
,1057,,52,42,10,19,1996,10,20,16.5
,1444.310059,,48,43,10,21,1996,10,22,14.5
,1004,,50,43,6,18,1996,6,19,139.5
,898,,44,41,10,30,1996,10,31,5.5
,1000,,41,38,10,8,1996,10,13,25.5
,1000,,40,39,10,24,1996,10,29,9.5
,1444.310059,,48,43,9,19,1996,9,20,46.5
,1000,,39,40,6,1,1996,6,3,156
,1007,,42,41,7,12,1996,7,16,114
,1444.310059,,52,40,10,13,1996,10,13,23
,1000,,40,40,10,20,1996,10,23,14.5
,1087,,49,40,8,5,1996,8,10,89.5
,1444.310059,,50,45,10,29,1996,10,30,6.5
,1000,,48,43,9,2,1996,9,5,62.5
,2345,,49,41,7,26,1996,7,30,100
,1000,,45,43,10,3,1996,10,9,30
,1020,,49,42,8,11,1996,8,12,85.5
,1444.310059,,46,44,6,12,1996,6,13,145.5
,1513,,47,43,8,22,1996,8,24,74
,962,,51,39,8,7,1996,8,8,89.5
,1022,,45,46,8,15,1996,8,18,80.5
,1039,,47,46,1,12,1996,1,15,296.5
,1000,,44,43,7,17,1996,7,21,109
,1000,,45,45,4,17,1996,4,21,200
,1000,,44,46,1,5,1996,1,7,304
,1013,,47,40,10,23,1996,10,27,11
,1444.310059,,50,42,10,27,1996,10,28,8.5
,1000,,42,41,1,27,1996,1,29,282
,1000,,40,37,9,3,1996,9,8,60.5
,1001,,51,44,5,9,1996,5,12,178.5
,1214,,36,41,9,14,1996,9,20,49
,1280,,52,42,9,13,1996,9,15,52
,1444.310059,,53,39,10,26,1996,10,27,9.5
,1560,,50,44,5,31,1996,6,9,153.5
,1000,,43,43,11,2,1996,11,3,2.5
,1444.310059,,49,45,8,16,1996,8,18,80
,1444.310059,,47,43,8,3,1996,8,6,92.5
,1530,,50,43,9,28,1996,10,1,36.5
,1444.310059,,50,42,10,30,1996,10,31,5.5
,1444.310059,,49,42,10,14,1996,10,20,19
,1444.310059,,51,42,10,22,1996,10,23,13.5
,1006,,46,34,10,18,1996,10,22,16
,1444.310059,,49,44,3,28,1996,3,31,220.5
,1444.310059,,50,44,10,16,1996,10,18,19
,1374,,51,43,10,1,1996,10,2,34.5
,1444.310059,,48,45,9,20,1996,9,22,45
,1444.310059,,50,40,9,7,1996,9,10,57.5
,1444.310059,,53,40,10,14,1996,10,15,21.5
,1012,,51,40,8,27,1996,8,28,69.5
,769,,51,36,5,8,1996,5,12,179
,1444.310059,,51,41,10,7,1996,10,8,28.5
,4030,,50,38,7,10,1996,7,14,116
,1444.310059,,50,43,9,18,1996,9,22,46
,1861,,50,42,10,3,1996,10,6,31.5
,761,,44,47,8,8,1996,8,9,88.5
,1000,,38,42,9,15,1996,9,18,49.5
,1444.310059,,44,48,8,23,1996,8,25,73
,1002,,49,45,2,23,1996,2,25,255
,1000,,46,43,6,19,1996,6,23,137
,1005,,51,41,1,18,1996,1,21,290.5
,1019,,48,46,5,28,1996,5,29,160.5
,1000,,49,43,8,17,1996,8,20,78.5
,1000,,38,41,9,7,1996,9,12,56.5
,1179,,48,44,8,5,1996,8,7,91
,1664,,48,42,9,4,1996,9,5,61.5
,1000,,39,40,12,7,1997,12,9,330
,865.1052246,,48,39,9,10,1997,9,11,418.5
,856,,48,43,7,25,1997,7,27,465
,863,,51,41,8,22,1997,8,25,436.5
,878,,46,46,10,27,1997,10,29,371
,1141.911011,,48,45,8,7,1997,8,10,451.5
,842,,49,42,11,6,1997,11,9,360.5
,1325,,44,43,10,12,1997,10,16,385
,907,,37,38,6,3,1998,6,4,152.5
,687,,44,39,7,30,1998,7,30,96
,482,,46,47,9,8,1998,9,10,55
,485,,47,50,10,26,1998,10,28,7
,900,,37,45,10,7,1998,10,8,26.5
,401,,48,47,9,14,1998,9,15,49.5
,404,,46,42,7,7,1998,7,8,118.5
,635.9949341,,47,48,9,22,1998,9,23,41.5
,855,,46,45,4,17,1998,4,19,199
,1754,,46,45,8,27,1998,9,8,62
,800,,39,34,3,30,1998,4,2,216.5
,1000,,41,38,9,21,1998,9,27,40
,771,,46,44,6,4,1998,6,8,150
,655,,40,37,4,20,1998,4,26,194
,867,,48,43,5,8,1998,5,10,178
,581,,49,47,10,22,1998,10,25,10.5
,500,,36,30,4,18,1998,4,20,198
,539,,51,45,9,23,1998,9,24,40.5
,442,,47,47,10,14,1998,10,15,19.5
,1336.776367,,47,45,7,9,1998,7,12,115.5
,822.1783447,,49,48,10,31,1998,11,1,2.5
,855,,46,46,7,7,1998,7,8,118.5
,655,,37,36,7,28,1998,8,1,96
,1019,,47,38,9,23,1998,9,24,40.5
,394,,44,50,4,17,1998,4,19,199
,1108,,47,43,8,21,1998,8,23,73
,1036,,49,37,10,14,1998,10,15,19.5
,1532,,44,43,10,14,1998,10,18,18
,1234,,45,43,5,18,1998,5,19,168.5
,1000,,37,34,6,1,1998,6,7,152
,900,,35,41,7,15,1998,7,16,110.5
,1155.095459,,49,46,10,29,1998,11,1,3.5
,1359.221069,,48,45,8,19,1998,8,21,75
,1020,,46,37,1,14,1998,1,15,292.5
,743,,46,44,10,28,1998,10,31,4.5
,503,,34,32,7,25,1998,7,27,100
,1000,,42,43,4,22,1998,4,27,192.5
,689.9976196,,48,43,9,24,1998,9,25,39.5
,900,,39,36,6,30,1998,7,1,125.5
,416,,41,45,10,16,1998,10,21,15.5
,373,,45,49,9,23,1998,9,24,40.5
,901,,37,38,3,10,1998,3,11,237.5
,844,,42,43,9,25,1998,9,28,37.5
,856,,51,40,10,14,1998,10,15,19.5
,794,,49,41,10,12,1998,10,13,21.5
,902,,38,37,4,7,1998,4,8,209.5
,1704,,37,35,9,10,1998,9,13,52.5
,864,,51,40,1,16,1998,1,18,290
,922,,51,41,1,14,1998,1,18,291
,800,,40,36,2,19,1998,2,25,254
,900,,38,37,5,6,1998,5,7,180.5
,1011,,49,36,4,8,1998,4,9,208.5
,781,,45,44,8,21,1998,8,24,72.5
,449,,47,46,9,11,1998,9,12,52.5
,1000,,40,43,8,24,1998,8,26,70
,567,,50,41,2,19,1998,2,22,255.5
,908,,52,40,3,25,1998,3,29,221
,753.0986938,,44,54,9,22,1998,9,23,41.5
,924.9013062,,43,48,10,14,1998,10,18,18
,903,,36,38,2,11,1998,2,12,264.5
,1024,,45,40,6,30,1998,7,1,125.5
,600,,41,38,10,13,1998,10,18,18.5
,832,,42,44,10,2,1998,10,5,30.5
,852,,49,42,7,29,1998,8,2,95
,811,,44,38,7,30,1998,7,30,96
,1100,,46,42,10,1,1998,10,4,31.5
,1143.180298,,49,45,10,8,1998,10,10,25
,1000,,29,29,7,22,1998,7,26,102
,514,,44,48,8,21,1998,8,23,73
,1105,,49,45,10,29,1998,11,1,3.5
,1155.095459,,46,48,10,29,1998,11,1,3.5
,642,,47,41,8,20,1998,8,21,74.5
,1100,,44,44,5,31,1998,6,4,154
,1766,,50,41,10,29,1998,11,1,3.5
,1246.997559,,49,39,1,28,1998,1,31,277.5
,800,,42,40,10,9,1998,10,13,23
,1017,,42,36,7,31,1998,8,4,93
,655,,40,37,6,24,1998,6,28,130
,786,,52,39,9,11,1998,9,12,52.5
,1000,,38,40,9,2,1998,9,9,58.5
,650,,45,43,10,8,1998,10,9,25.5
,1000,,37,36,7,15,1998,7,19,109
,673,,38,48,10,28,1998,10,29,5.5
,1000,,41,45,1,15,1998,1,19,290
,756.2497559,,39,43,9,21,1998,9,27,40
,852,,47,43,9,14,1998,9,15,49.5
,647.0787354,,48,46,10,12,1998,10,13,21.5
,1000,,36,32,6,18,1998,6,21,136.5
,251,,41,49,10,8,1998,10,9,25.5
,519,,47,49,10,23,1998,10,25,10
,842,,48,41,9,23,1998,9,24,40.5
,1025,,43,40,10,24,1998,10,27,8.5
,808,,47,42,6,30,1998,7,1,125.5
,900,,38,38,9,9,1998,9,10,54.5
,824,,40,44,9,11,1998,9,14,51.5
,1240.070068,,47,44,1,15,1998,1,19,290
,1000,,39,41,10,1,1998,10,4,31.5
,899,,37,40,7,29,1998,7,30,96.5
,735,,47,44,10,3,1998,10,4,30.5
,679,,41,38,5,27,1998,6,3,156.5
,715,,46,49,9,25,1998,9,28,37.5
,865,,47,44,10,23,1998,10,25,10
,1371.967407,,49,43,9,11,1998,9,13,52
,548,,48,47,10,15,1998,10,18,17.5
,683.9838257,,38,47,10,7,1998,10,8,26.5
,899,,50,41,9,23,1998,9,24,40.5
,461,,47,46,10,9,1998,10,12,23.5
,713.6012573,,44,39,10,21,1998,10,25,11
,682.2389526,,45,43,9,10,1998,9,11,53.5
,834,,46,45,10,9,1998,10,12,23.5
,1505.898315,,46,43,8,18,1998,8,19,76.5
,1055,,44,45,5,18,1998,5,19,168.5
,1002,,42,40,4,17,1999,4,2,577.5
,711,,40,31,9,21,1999,9,25,411
,789,,43,41,8,14,1999,8,17,449.5
,1134,,49,43,10,15,1999,10,19,387
,948,,45,47,9,18,1999,9,21,414.5
,902,,38,39,12,14,1999,12,15,328.5
,800,,42,41,9,15,1999,9,17,418
,900,,37,38,9,29,1999,9,3,418
,1167.107056,,50,43,10,6,1999,10,9,396.5
,851,,50,40,6,17,1999,6,20,507.5
,648.3207397,,41,42,6,1,1999,7,8,506.5
,1202,,38,35,12,15,1999,12,21,325
,707.8961792,,41,39,10,1,1999,10,9,399
,800,,44,38,2,15,1999,2,16,630.5
,904,,36,40,9,16,1999,9,17,417.5
,903.4028931,,34,32,8,1,1999,8,8,460.5
,1000,,39,39,6,14,1999,6,16,511
,589.2994385,,43,37,3,1,1999,3,9,613
,880,,32,33,11,27,1999,11,29,345
,741.7017822,,44,40,12,1,1999,12,9,338
,1403.544189,,48,41,2,2,1999,2,21,634.5
,792.2877197,,39,40,1,4,1999,1,6,672
,606.2022705,,40,41,4,1,1999,4,8,582.5
,989,,45,44,11,7,1999,12,1,354
,908,,41,38,3,12,1999,3,15,604.5
,675,,42,36,2,4,1999,2,6,641
,1321.630981,,50,41,3,19,1999,3,21,598
,656.9107056,,43,39,7,1,1999,7,9,491
,1416.95166,,48,44,8,8,1999,9,10,440.5
,1395.231323,,49,39,1,6,1999,1,8,670
,679,,48,37,2,2,1999,2,20,635
,1023,,39,33,11,26,1999,11,3,358.5
,1538.766724,,48,39,10,20,1999,10,24,382
,1264,,44,36,12,20,1999,12,23,321.5
,953,,45,38,11,12,1999,11,15,359.5
,908,,38,43,6,3,1999,6,30,509.5
,904,,40,41,10,27,1999,10,28,376.5
,1546.525391,,47,41,10,5,1999,10,9,397
,854,,47,43,11,25,1999,11,28,346.5
,1000,,40,38,9,22,1999,9,28,409
,1698,,46,42,9,18,1999,9,21,414.5
,705,,39,40,4,22,1999,4,24,564
,903,,35,48,8,19,1999,8,2,454.5
,1000,,47,42,10,13,1999,10,2,396.5
,900,,36,42,11,24,1999,11,25,348.5
,1000,,43,40,10,26,2000,10,31,9.5
,694,,47,45,9,23,2000,9,25,44
,819.4586182,,43,37,10,23,2000,10,29,12
,902,,36,42,1,12,2000,1,13,299.5
,1000,,39,38,9,10,2000,9,13,56.5
,1000,,45,42,11,1,2000,11,2,5.5
,1000,,40,39,10,2,2000,10,5,34.5
,900,,39,42,5,24,2000,5,25,166.5
,781,,44,47,8,9,2000,8,10,89.5
,843,,42,34,9,9,2000,9,11,58
,1239,,50,43,3,8,2000,3,9,243.5
,1011,,41,32,5,22,2000,5,24,168
,965,,44,37,10,29,2000,10,31,8
,1000,,42,42,11,1,2000,11,5,4
,1000,,41,39,10,10,2000,10,15,25.5
,743,,41,37,7,20,2000,7,23,108.5
,1000,,40,39,10,5,2000,10,10,30.5
,842,,38,34,4,1,2000,4,4,218.5
,1000,,39,38,8,14,2000,8,15,84.5
,528,,48,46,6,6,2000,6,7,153.5
,1000,,44,42,11,5,2000,11,6,1.5
,1000,,42,41,3,12,2000,3,13,239.5
,898.9852295,,41,43,8,1,2000,8,31,83
,1000,,39,40,10,3,2000,10,8,32.5
,1000,,39,39,9,28,2000,10,3,37.5
,1000,,43,40,10,15,2000,10,18,21.5
,1000,,41,41,5,1,2000,5,3,189
,512,,42,48,1,13,2000,1,16,297.5
